 	transcript_5p20nt_MFE
MSMEG_1117	-2.50
MSMEG_1118	-0.30
MSMEG_1119	NA
MSMEG_1120	NA
MSMEG_1121	NA
MSMEG_1122	NA
MSMEG_1123	-0.20
MSMEG_1124	0.00
MSMEG_1125	NA
MSMEG_1126	NA
MSMEG_1127	NA
MSMEG_1128	NA
MSMEG_1129	NA
MSMEG_1130	NA
MSMEG_1131	-1.70
MSMEG_1132	-2.10
MSMEG_1133	0.00
MSMEG_1134	-1.60
MSMEG_1135	NA
MSMEG_1136	-3.20
MSMEG_1137	NA
MSMEG_1138	-2.20
MSMEG_1139	-1.70
MSMEG_1140	-2.70
MSMEG_1141	-3.80
MSMEG_1142	NA
MSMEG_1143	NA
MSMEG_1144	NA
MSMEG_1145	NA
MSMEG_1146	NA
MSMEG_1147	NA
MSMEG_1148	NA
MSMEG_1149	NA
MSMEG_1150	NA
MSMEG_1151	NA
MSMEG_1152	NA
MSMEG_1153	-2.30
MSMEG_1154	NA
MSMEG_1155	NA
MSMEG_1156	NA
MSMEG_1157	NA
MSMEG_1158	NA
MSMEG_1159	NA
MSMEG_1160	NA
MSMEG_1161	NA
MSMEG_1162	NA
MSMEG_1163	NA
MSMEG_1165	0.00
MSMEG_1167	-0.30
MSMEG_1168	-4.30
MSMEG_1169	0.00
MSMEG_1170	NA
MSMEG_1171	NA
MSMEG_1172	NA
MSMEG_1173	-3.30
MSMEG_1174	0.00
MSMEG_1175	-0.20
MSMEG_1176	-6.10
MSMEG_1177	-5.30
MSMEG_1178	NA
MSMEG_1179	NA
MSMEG_1180	NA
MSMEG_1181	NA
MSMEG_1182	NA
MSMEG_1183	NA
MSMEG_1184	-8.20
MSMEG_1185	-0.20
MSMEG_1186	NA
MSMEG_1187	NA
MSMEG_1188	-3.30
MSMEG_1189	-2.10
MSMEG_1190	NA
MSMEG_1191	-0.20
MSMEG_1192	NA
MSMEG_1193	-3.10
MSMEG_1194	-4.10
MSMEG_1195	-0.70
MSMEG_1196	NA
MSMEG_1197	NA
MSMEG_1198	NA
MSMEG_1199	-1.70
MSMEG_1200	0.00
MSMEG_1201	-0.80
MSMEG_1202	NA
MSMEG_1203	NA
MSMEG_1204	-2.40
MSMEG_1205	-1.70
MSMEG_1206	-5.90
MSMEG_1207	-4.00
MSMEG_1208	NA
MSMEG_1209	NA
MSMEG_1210	-1.10
MSMEG_1211	-8.20
MSMEG_1212	-10.20
MSMEG_1213	-2.80
MSMEG_1214	NA
MSMEG_1215	NA
MSMEG_1216	NA
MSMEG_1217	NA
MSMEG_1218	NA
MSMEG_1219	NA
MSMEG_1220	-1.70
MSMEG_1221	NA
MSMEG_1222	-1.20
MSMEG_1223	-0.10
MSMEG_1224	NA
MSMEG_1225	-0.40
MSMEG_1226	-1.70
MSMEG_1227	NA
MSMEG_1228	NA
MSMEG_1229	NA
MSMEG_1230	NA
MSMEG_1231	NA
MSMEG_1232	NA
MSMEG_1234	NA
MSMEG_1235	NA
MSMEG_1236	-5.60
MSMEG_1237	NA
MSMEG_1238	-0.90
MSMEG_1239	NA
MSMEG_1240	-0.60
MSMEG_1241	NA
MSMEG_1242	-5.40
MSMEG_1243	NA
MSMEG_1244	NA
MSMEG_1245	0.00
MSMEG_1246	-5.80
MSMEG_1247	0.00
MSMEG_1248	NA
MSMEG_1249	NA
MSMEG_1250	-0.60
MSMEG_1251	-5.90
MSMEG_1252	NA
MSMEG_1253	-1.60
MSMEG_1254	NA
MSMEG_1255	-4.90
MSMEG_1256	NA
MSMEG_1257	-3.60
MSMEG_1258	-1.00
MSMEG_1259	NA
MSMEG_1260	-1.00
MSMEG_1261	-1.50
MSMEG_1262	-0.80
MSMEG_1263	-1.90
MSMEG_1264	-6.60
MSMEG_1265	-1.20
MSMEG_1266	NA
MSMEG_1268	0.00
MSMEG_1269	NA
MSMEG_1270	-0.70
MSMEG_1271	NA
MSMEG_1272	-1.30
MSMEG_1273	NA
MSMEG_1274	-8.10
MSMEG_1275	-0.90
MSMEG_1276	NA
MSMEG_1277	-0.10
MSMEG_1278	NA
MSMEG_1279	-2.60
MSMEG_1280	NA
MSMEG_1281	NA
MSMEG_1282	NA
MSMEG_1283	-1.00
MSMEG_1284	NA
MSMEG_1285	NA
MSMEG_1286	NA
MSMEG_1287	NA
MSMEG_1288	NA
MSMEG_1289	-4.20
MSMEG_1290	NA
MSMEG_1291	NA
MSMEG_1292	-0.40
MSMEG_1293	-1.70
MSMEG_1294	NA
MSMEG_1295	-3.70
MSMEG_1296	-1.90
MSMEG_1297	NA
MSMEG_1298	NA
MSMEG_1299	NA
MSMEG_1300	-7.60
MSMEG_1301	NA
MSMEG_1302	NA
MSMEG_1303	NA
MSMEG_1304	NA
MSMEG_1305	-5.40
MSMEG_1306	NA
MSMEG_1307	NA
MSMEG_1308	NA
MSMEG_1309	NA
MSMEG_1310	NA
MSMEG_1311	-4.40
MSMEG_1312	NA
MSMEG_1313	-2.20
MSMEG_1314	-1.70
MSMEG_1315	NA
MSMEG_1316	0.00
MSMEG_1317	0.00
MSMEG_1318	NA
MSMEG_1319	NA
MSMEG_1320	NA
MSMEG_1321	NA
MSMEG_1322	-10.30
MSMEG_1323	NA
MSMEG_1324	NA
MSMEG_1325	NA
MSMEG_1326	NA
MSMEG_1327	NA
MSMEG_1328	NA
MSMEG_1329	NA
MSMEG_1330	NA
MSMEG_1331	-1.80
MSMEG_1332	-2.10
MSMEG_1333	NA
MSMEG_1334	-1.30
MSMEG_1335	NA
MSMEG_1336	NA
MSMEG_1339	-10.20
MSMEG_1340	NA
MSMEG_1341	NA
MSMEG_1342	NA
MSMEG_1344	-2.80
MSMEG_1345	NA
MSMEG_1346	0.00
MSMEG_1347	NA
MSMEG_1348	NA
MSMEG_1349	NA
MSMEG_1350	-2.80
MSMEG_1351	-3.60
MSMEG_1352	NA
MSMEG_1353	-0.30
MSMEG_1355	NA
MSMEG_1356	-7.50
MSMEG_1357	NA
MSMEG_1358	NA
MSMEG_1359	NA
MSMEG_1360	NA
MSMEG_1361	0.00
MSMEG_1362	NA
MSMEG_1363	-1.20
MSMEG_1364	-3.50
MSMEG_1365	NA
MSMEG_1366	0.00
MSMEG_1367	-3.30
MSMEG_1368	NA
MSMEG_1369	-1.90
MSMEG_1370	-1.20
MSMEG_1371	NA
MSMEG_1372	NA
MSMEG_1373	NA
MSMEG_1374	NA
MSMEG_1375	-0.70
MSMEG_1376	0.00
MSMEG_1377	NA
MSMEG_1378	NA
MSMEG_1379	-3.70
MSMEG_1380	-0.10
MSMEG_1381	0.00
MSMEG_1382	NA
MSMEG_1383	-2.00
MSMEG_1384	NA
MSMEG_1385	-1.20
MSMEG_1386	NA
MSMEG_1387	-2.30
MSMEG_1388	NA
MSMEG_1389	NA
MSMEG_1390	NA
MSMEG_1391	0.00
MSMEG_1392	0.00
MSMEG_1393	NA
MSMEG_1394	-6.40
MSMEG_1395	NA
MSMEG_1396	NA
MSMEG_1397	-3.90
MSMEG_1398	-8.70
MSMEG_1399	NA
MSMEG_1401	-3.20
MSMEG_1402	0.00
MSMEG_1403	-1.40
MSMEG_1404	-4.60
MSMEG_1405	-3.60
MSMEG_1406	NA
MSMEG_1409	NA
MSMEG_1410	0.00
MSMEG_1411	NA
MSMEG_1412	NA
MSMEG_1413	NA
MSMEG_1414	0.00
MSMEG_1415	0.00
MSMEG_1416	-0.40
MSMEG_1417	NA
MSMEG_1418	0.00
MSMEG_1419	0.00
MSMEG_1420	NA
MSMEG_1421	NA
MSMEG_1422	NA
MSMEG_1423	0.00
MSMEG_1424	NA
MSMEG_1425	-2.40
MSMEG_1426	-4.20
MSMEG_1427	NA
MSMEG_1428	NA
MSMEG_1429	-2.20
MSMEG_1430	-5.30
MSMEG_1431	NA
MSMEG_1432	-2.70
MSMEG_1433	-5.60
MSMEG_1434	-3.10
MSMEG_1435	-3.80
MSMEG_1436	NA
MSMEG_1437	NA
MSMEG_1438	NA
MSMEG_1439	NA
MSMEG_1440	-6.60
MSMEG_1441	NA
MSMEG_1442	-0.80
MSMEG_1443	NA
MSMEG_1444	NA
MSMEG_1445	NA
MSMEG_1446	-5.50
MSMEG_1447	NA
MSMEG_1448	-5.70
MSMEG_1450	NA
MSMEG_1451	-6.00
MSMEG_1452	NA
MSMEG_1453	NA
MSMEG_1454	NA
MSMEG_1455	-2.70
MSMEG_1456	-0.70
MSMEG_1457	-4.30
MSMEG_1458	NA
MSMEG_1459	NA
MSMEG_1460	NA
MSMEG_1461	NA
MSMEG_1462	NA
MSMEG_1463	NA
MSMEG_1464	NA
MSMEG_1465	-4.30
MSMEG_1466	-0.20
MSMEG_1467	NA
MSMEG_1468	-0.70
MSMEG_1469	NA
MSMEG_1470	-3.70
MSMEG_1471	-1.30
MSMEG_1472	0.00
MSMEG_1473	-1.90
MSMEG_1474	NA
MSMEG_1475	NA
MSMEG_1476	-0.60
MSMEG_1477	NA
MSMEG_1478	NA
MSMEG_1479	-1.70
MSMEG_1480	NA
MSMEG_1481	NA
MSMEG_1482	-4.90
MSMEG_1483	-0.90
MSMEG_1484	NA
MSMEG_1485	NA
MSMEG_1486	NA
MSMEG_1487	-3.50
MSMEG_1488	NA
MSMEG_1489	NA
MSMEG_1490	NA
MSMEG_1491	NA
MSMEG_1492	-1.90
MSMEG_1493	NA
MSMEG_1494	-0.90
MSMEG_1495	NA
MSMEG_1496	-0.10
MSMEG_1497	NA
MSMEG_1498	-6.40
MSMEG_1499	NA
MSMEG_1500	NA
MSMEG_1501	-7.00
MSMEG_1502	0.00
MSMEG_1503	NA
MSMEG_1504	NA
MSMEG_1505	NA
MSMEG_1506	NA
MSMEG_1507	NA
MSMEG_1508	NA
MSMEG_1509	NA
MSMEG_1510	NA
MSMEG_1511	NA
MSMEG_1512	-1.70
MSMEG_1513	0.00
MSMEG_1514	-6.30
MSMEG_1515	NA
MSMEG_1516	-2.10
MSMEG_1517	NA
MSMEG_1518	-8.90
MSMEG_1519	NA
MSMEG_1520	0.00
MSMEG_1521	-4.30
MSMEG_1522	-2.30
MSMEG_1523	-4.60
MSMEG_1524	-2.00
MSMEG_1525	-1.50
MSMEG_1526	-0.90
MSMEG_1527	NA
MSMEG_1528	NA
MSMEG_1529	-2.80
MSMEG_1530	0.00
MSMEG_1531	-3.70
MSMEG_1532	NA
MSMEG_1533	NA
MSMEG_1534	NA
MSMEG_1535	NA
MSMEG_1536	NA
MSMEG_1537	NA
MSMEG_1538	NA
MSMEG_1539	NA
MSMEG_1540	-3.90
MSMEG_1541	NA
MSMEG_1542	-9.50
MSMEG_1543	-5.80
MSMEG_1544	-8.70
MSMEG_1545	NA
MSMEG_1546	-3.60
MSMEG_1547	NA
MSMEG_1548	NA
MSMEG_1550	NA
MSMEG_1551	NA
MSMEG_1552	NA
MSMEG_1553	-4.30
MSMEG_1554	NA
MSMEG_1556	-1.20
MSMEG_1557	-11.70
MSMEG_1558	0.00
MSMEG_1559	0.00
MSMEG_1560	NA
MSMEG_1561	-3.90
MSMEG_1563	NA
MSMEG_1564	NA
MSMEG_1565	-4.00
MSMEG_1566	NA
MSMEG_1567	-2.50
MSMEG_1568	NA
MSMEG_1569	NA
MSMEG_1570	NA
MSMEG_1571	NA
MSMEG_1572	NA
MSMEG_1573	-3.70
MSMEG_1574	-8.40
MSMEG_1575	0.00
MSMEG_1576	NA
MSMEG_1577	-2.50
MSMEG_1578	NA
MSMEG_1579	NA
MSMEG_1580	-0.80
MSMEG_1581	NA
MSMEG_1582	-4.80
MSMEG_1583	-2.80
MSMEG_1584	NA
MSMEG_1585	-1.80
MSMEG_1586	NA
MSMEG_1587	NA
MSMEG_1588	NA
MSMEG_1589	-1.60
MSMEG_1590	NA
MSMEG_1591	NA
MSMEG_1592	-2.90
MSMEG_1593	NA
MSMEG_1594	NA
MSMEG_1595	NA
MSMEG_1596	-0.60
MSMEG_1597	-2.40
MSMEG_1598	NA
MSMEG_1599	-2.40
MSMEG_1600	NA
MSMEG_1601	-1.90
MSMEG_1602	-0.50
MSMEG_1603	-3.00
MSMEG_1604	-2.50
MSMEG_1605	NA
MSMEG_1606	NA
MSMEG_1607	NA
MSMEG_1608	-2.70
MSMEG_1609	0.00
MSMEG_1610	0.00
MSMEG_1611	NA
MSMEG_1612	NA
MSMEG_1613	NA
MSMEG_1614	NA
MSMEG_1615	NA
MSMEG_1617	NA
MSMEG_1618	-4.70
MSMEG_1619	NA
MSMEG_1620	-3.10
MSMEG_1621	-1.40
MSMEG_1622	NA
MSMEG_1623	0.00
MSMEG_1624	NA
MSMEG_1625	NA
MSMEG_1626	NA
MSMEG_1627	NA
MSMEG_1628	NA
MSMEG_1629	-2.10
MSMEG_1630	NA
MSMEG_1631	-1.10
MSMEG_1632	-2.60
MSMEG_1633	0.00
MSMEG_1634	-7.40
MSMEG_1635	0.00
MSMEG_1636	0.00
MSMEG_1637	-5.60
MSMEG_1638	-3.90
MSMEG_1639	NA
MSMEG_1640	-5.80
MSMEG_1641	NA
MSMEG_1642	-1.90
MSMEG_1643	-0.70
MSMEG_1644	-1.80
MSMEG_1645	0.00
MSMEG_1646	-4.40
MSMEG_1647	-2.90
MSMEG_1648	-1.40
MSMEG_1649	NA
MSMEG_1650	NA
MSMEG_1651	NA
MSMEG_1652	-2.50
MSMEG_1653	NA
MSMEG_1654	0.00
MSMEG_1655	-2.80
MSMEG_1656	-3.90
MSMEG_1657	-1.60
MSMEG_1658	NA
MSMEG_1659	-6.00
MSMEG_1660	0.00
MSMEG_1661	-0.40
MSMEG_1662	0.00
MSMEG_1663	-6.20
MSMEG_1664	NA
MSMEG_1665	0.00
MSMEG_1666	-4.80
MSMEG_1667	NA
MSMEG_1668	NA
MSMEG_1669	NA
MSMEG_1670	NA
MSMEG_1671	NA
MSMEG_1672	-1.60
MSMEG_1673	-2.40
MSMEG_1674	NA
MSMEG_1675	0.00
MSMEG_1676	NA
MSMEG_1677	NA
MSMEG_1678	NA
MSMEG_1679	NA
MSMEG_1680	-0.50
MSMEG_1681	NA
MSMEG_1682	0.00
MSMEG_1683	-8.10
MSMEG_1684	-2.20
MSMEG_1685	-2.00
MSMEG_1686	NA
MSMEG_1687	NA
MSMEG_1688	NA
MSMEG_1689	-0.60
MSMEG_1690	NA
MSMEG_1691	NA
MSMEG_1692	-0.80
MSMEG_1693	NA
MSMEG_1694	NA
MSMEG_1695	NA
MSMEG_1696	NA
MSMEG_1697	NA
MSMEG_1698	-3.50
MSMEG_1699	NA
MSMEG_1700	NA
MSMEG_1701	-1.10
MSMEG_1702	-0.30
MSMEG_1703	NA
MSMEG_1704	NA
MSMEG_1705	NA
MSMEG_1706	NA
MSMEG_1707	NA
MSMEG_1708	-3.60
MSMEG_1709	NA
MSMEG_1710	NA
MSMEG_1711	NA
MSMEG_1712	NA
MSMEG_1713	NA
MSMEG_1714	NA
MSMEG_1715	NA
MSMEG_1716	-0.30
MSMEG_1717	0.00
MSMEG_1718	NA
MSMEG_1719	-2.10
MSMEG_1720	-2.10
MSMEG_1721	NA
MSMEG_1722	-2.00
MSMEG_1723	-1.60
MSMEG_1724	NA
MSMEG_1725	-4.50
MSMEG_1726	-2.80
MSMEG_1727	NA
MSMEG_1728	-0.40
MSMEG_1729	-7.40
MSMEG_1730	NA
MSMEG_1731	NA
MSMEG_1732	-0.80
MSMEG_1733	-3.30
MSMEG_1734	-3.50
MSMEG_1735	-4.30
MSMEG_1736	-2.30
MSMEG_1737	NA
MSMEG_1738	-2.50
MSMEG_1739	-1.90
MSMEG_1740	-4.90
MSMEG_1741	-2.20
MSMEG_1742	0.00
MSMEG_1743	NA
MSMEG_1744	-6.30
MSMEG_1745	-3.50
MSMEG_1746	NA
MSMEG_1747	NA
MSMEG_1748	NA
MSMEG_1749	NA
MSMEG_1750	NA
MSMEG_1751	0.00
MSMEG_1752	NA
MSMEG_1753	-0.50
MSMEG_1754	NA
MSMEG_1755	NA
MSMEG_1756	NA
MSMEG_1757	-1.80
MSMEG_1758	NA
MSMEG_1759	NA
MSMEG_1760	NA
MSMEG_1761	NA
MSMEG_1762	NA
MSMEG_1763	NA
MSMEG_1764	NA
MSMEG_1765	NA
MSMEG_1766	NA
MSMEG_1767	NA
MSMEG_1768	NA
MSMEG_1769	NA
MSMEG_1770	-5.80
MSMEG_1771	NA
MSMEG_1772	NA
MSMEG_1773	0.00
MSMEG_1774	NA
MSMEG_1775	NA
MSMEG_1776	NA
MSMEG_1777	NA
MSMEG_1778	-1.20
MSMEG_1779	NA
MSMEG_1780	NA
MSMEG_1781	NA
MSMEG_1782	-2.30
MSMEG_1783	NA
MSMEG_1784	NA
MSMEG_1785	NA
MSMEG_1786	-5.70
MSMEG_1787	NA
MSMEG_1788	NA
MSMEG_1789	NA
MSMEG_1790	NA
MSMEG_1791	-6.70
MSMEG_1792	NA
MSMEG_1793	NA
MSMEG_1794	NA
MSMEG_1795	NA
MSMEG_1796	NA
MSMEG_1797	NA
MSMEG_1798	NA
MSMEG_1799	-0.50
MSMEG_1800	NA
MSMEG_1801	-2.00
MSMEG_1802	0.00
MSMEG_1803	0.00
MSMEG_1804	-2.70
MSMEG_1805	-3.70
MSMEG_1806	NA
MSMEG_1807	0.00
MSMEG_1808	NA
MSMEG_1809	-2.20
MSMEG_1810	NA
MSMEG_1811	NA
MSMEG_1812	0.00
MSMEG_1813	-1.20
MSMEG_1814	NA
MSMEG_1815	NA
MSMEG_1817	-2.50
MSMEG_1818	-4.70
MSMEG_1819	-3.10
MSMEG_1820	NA
MSMEG_1821	-1.80
MSMEG_1822	-4.00
MSMEG_1823	NA
MSMEG_1824	0.00
MSMEG_1825	NA
MSMEG_1826	-0.30
MSMEG_1827	NA
MSMEG_1829	NA
MSMEG_1830	-1.60
MSMEG_1831	0.00
MSMEG_1832	-2.10
MSMEG_1833	-1.80
MSMEG_1834	-1.00
MSMEG_1835	NA
MSMEG_1836	-3.30
MSMEG_1837	NA
MSMEG_1838	-0.60
MSMEG_1839	-2.20
MSMEG_1840	NA
MSMEG_1841	NA
MSMEG_1842	NA
MSMEG_1844	NA
MSMEG_1845	-1.10
MSMEG_1846	NA
MSMEG_1847	NA
MSMEG_1849	NA
MSMEG_1850	NA
MSMEG_1852	0.00
MSMEG_1854	-0.30
MSMEG_1855	NA
MSMEG_1856	NA
MSMEG_1857	NA
MSMEG_1858	NA
MSMEG_1859	NA
MSMEG_1860	NA
MSMEG_1861	-4.80
MSMEG_1862	-2.80
MSMEG_1863	-1.00
MSMEG_1864	NA
MSMEG_1865	-5.20
MSMEG_1866	NA
MSMEG_1867	-5.00
MSMEG_1868	0.00
MSMEG_1869	0.00
MSMEG_1870	0.00
MSMEG_1871	NA
MSMEG_1872	-4.70
MSMEG_1873	-1.40
MSMEG_1874	NA
MSMEG_1875	-1.30
MSMEG_1876	NA
MSMEG_1877	NA
MSMEG_1878	NA
MSMEG_1879	NA
MSMEG_1880	-4.90
MSMEG_1881	0.00
MSMEG_1882	0.00
MSMEG_1883	0.00
MSMEG_1884	0.00
MSMEG_1885	-1.60
MSMEG_1886	-1.40
MSMEG_1887	-2.40
MSMEG_1888	NA
MSMEG_1889	NA
MSMEG_1890	-2.50
MSMEG_1891	NA
MSMEG_1892	NA
MSMEG_1893	0.00
MSMEG_1894	NA
MSMEG_1895	0.00
MSMEG_1896	NA
MSMEG_1897	NA
MSMEG_1898	NA
MSMEG_1899	NA
MSMEG_1900	-2.70
MSMEG_1901	-1.10
MSMEG_1902	0.00
MSMEG_1903	NA
MSMEG_1904	NA
MSMEG_1905	-4.40
MSMEG_1906	NA
MSMEG_1907	NA
MSMEG_1908	NA
MSMEG_1909	NA
MSMEG_1910	NA
MSMEG_1911	NA
MSMEG_1912	NA
MSMEG_1913	-2.30
MSMEG_1914	-2.90
MSMEG_1915	NA
MSMEG_1916	-0.20
MSMEG_1917	-1.30
MSMEG_1918	-0.80
MSMEG_1919	-0.90
MSMEG_1920	-3.10
MSMEG_1921	-2.70
MSMEG_1922	-1.70
MSMEG_1923	NA
MSMEG_1924	NA
MSMEG_1925	NA
MSMEG_1926	-3.00
MSMEG_1927	-4.20
MSMEG_1928	NA
MSMEG_1929	-4.70
MSMEG_1930	-6.40
MSMEG_1931	-1.10
MSMEG_1932	0.00
MSMEG_1933	-4.00
MSMEG_1934	-5.20
MSMEG_1935	-3.90
MSMEG_1936	-1.20
MSMEG_1937	-4.90
MSMEG_1938	-3.40
MSMEG_1939	NA
MSMEG_1940	-2.40
MSMEG_1941	NA
MSMEG_1942	-4.40
MSMEG_1943	-4.50
MSMEG_1944	-0.60
MSMEG_1945	-1.80
MSMEG_1946	NA
MSMEG_1947	0.00
MSMEG_1948	NA
MSMEG_1949	-3.50
MSMEG_1950	NA
MSMEG_1951	NA
MSMEG_1952	NA
MSMEG_1953	-2.70
MSMEG_1954	-0.90
MSMEG_1955	-5.80
MSMEG_1956	NA
MSMEG_1957	-4.20
MSMEG_1958	NA
MSMEG_1959	NA
MSMEG_1960	-0.10
MSMEG_1961	NA
MSMEG_1962	NA
MSMEG_1963	NA
MSMEG_1964	NA
MSMEG_1966	-2.90
MSMEG_1967	NA
MSMEG_1968	NA
MSMEG_1969	-0.90
MSMEG_1970	NA
MSMEG_1971	NA
MSMEG_1972	NA
MSMEG_1974	NA
MSMEG_1975	NA
MSMEG_1976	-0.70
MSMEG_1977	NA
MSMEG_1978	NA
MSMEG_1979	NA
MSMEG_1980	NA
MSMEG_1981	-2.70
MSMEG_1982	-1.00
MSMEG_1983	NA
MSMEG_1984	NA
MSMEG_1985	-5.70
MSMEG_1986	-7.30
MSMEG_1987	NA
MSMEG_1988	NA
MSMEG_1989	-7.60
MSMEG_1990	NA
MSMEG_1991	0.00
MSMEG_1992	NA
MSMEG_1993	NA
MSMEG_1994	NA
MSMEG_1995	-2.60
MSMEG_1996	-1.50
MSMEG_1997	NA
MSMEG_1998	NA
MSMEG_1999	-9.40
MSMEG_2000	-2.20
MSMEG_2001	NA
MSMEG_2002	-3.60
MSMEG_2003	NA
MSMEG_2004	NA
MSMEG_2005	NA
MSMEG_2006	NA
MSMEG_2007	-11.10
MSMEG_2008	NA
MSMEG_2009	-1.70
MSMEG_2010	-2.00
MSMEG_2011	-1.50
MSMEG_2012	NA
MSMEG_2013	NA
MSMEG_2014	NA
MSMEG_2015	NA
MSMEG_2016	NA
MSMEG_2017	-0.40
MSMEG_2019	-1.50
MSMEG_2021	-4.40
MSMEG_2022	NA
MSMEG_2023	NA
MSMEG_2024	NA
MSMEG_2025	NA
MSMEG_2026	-0.30
MSMEG_2027	0.00
MSMEG_2028	NA
MSMEG_2029	0.00
MSMEG_2030	NA
MSMEG_2031	NA
MSMEG_2032	-0.50
MSMEG_2033	-3.70
MSMEG_2034	NA
MSMEG_2035	NA
MSMEG_2036	NA
MSMEG_2037	-0.20
MSMEG_2038	-0.20
MSMEG_2039	-2.00
MSMEG_2040	NA
MSMEG_2042	-1.20
MSMEG_2043	-0.70
MSMEG_2044	-2.50
MSMEG_2045	-7.90
MSMEG_2046	-4.30
MSMEG_2047	NA
MSMEG_2048	-1.10
MSMEG_2049	0.00
MSMEG_2050	NA
MSMEG_2051	NA
MSMEG_2052	NA
MSMEG_2053	NA
MSMEG_2054	NA
MSMEG_2055	NA
MSMEG_2056	NA
MSMEG_2057	NA
MSMEG_2058	NA
MSMEG_2059	NA
MSMEG_2060	NA
MSMEG_2061	NA
MSMEG_2062	NA
MSMEG_2063	NA
MSMEG_2064	-6.20
MSMEG_2065	NA
MSMEG_2066	NA
MSMEG_2067	NA
MSMEG_2068	NA
MSMEG_2069	NA
MSMEG_2070	NA
MSMEG_2071	NA
MSMEG_2072	-3.50
MSMEG_2073	NA
MSMEG_2074	-1.60
MSMEG_2075	0.00
MSMEG_2076	NA
MSMEG_2077	NA
MSMEG_2078	0.00
MSMEG_2079	NA
MSMEG_2080	-1.80
MSMEG_2081	-2.70
MSMEG_2082	NA
MSMEG_2083	-1.30
MSMEG_2084	-2.80
MSMEG_2086	-0.20
MSMEG_2087	-4.00
MSMEG_2088	NA
MSMEG_2089	-1.60
MSMEG_2090	NA
MSMEG_2091	-2.10
MSMEG_2092	-3.40
MSMEG_2094	NA
MSMEG_2095	NA
MSMEG_2096	NA
MSMEG_2097	NA
MSMEG_2098	NA
MSMEG_2099	NA
MSMEG_2100	NA
MSMEG_2102	NA
MSMEG_2103	-1.90
MSMEG_2104	NA
MSMEG_2105	-2.40
MSMEG_2106	-1.00
MSMEG_2107	-0.30
MSMEG_2108	-0.90
MSMEG_2109	NA
MSMEG_2110	NA
MSMEG_2111	-0.40
MSMEG_2112	NA
MSMEG_2113	NA
MSMEG_2114	NA
MSMEG_2115	NA
MSMEG_2116	-1.60
MSMEG_2117	0.00
MSMEG_2118	NA
MSMEG_2119	NA
MSMEG_2120	NA
MSMEG_2121	NA
MSMEG_2122	NA
MSMEG_2123	NA
MSMEG_2124	-6.20
MSMEG_2125	-1.20
MSMEG_2126	NA
MSMEG_2127	-0.40
MSMEG_2128	0.00
MSMEG_2129	NA
MSMEG_2130	NA
MSMEG_2131	NA
MSMEG_2132	0.00
MSMEG_2133	NA
MSMEG_2134	NA
MSMEG_2135	NA
MSMEG_2136	-0.50
MSMEG_2137	-1.60
MSMEG_2139	NA
MSMEG_2140	-4.30
MSMEG_2141	NA
MSMEG_2142	0.00
MSMEG_2143	NA
MSMEG_2144	-1.40
MSMEG_2145	NA
MSMEG_2146	NA
MSMEG_2148	NA
MSMEG_2149	-1.50
MSMEG_2150	NA
MSMEG_2151	NA
MSMEG_2153	0.00
MSMEG_2154	NA
MSMEG_2155	NA
MSMEG_2156	NA
MSMEG_2157	-2.20
MSMEG_2158	NA
MSMEG_2159	NA
MSMEG_2160	NA
MSMEG_2162	-1.20
MSMEG_2163	NA
MSMEG_2164	-1.00
MSMEG_2165	NA
MSMEG_2166	NA
MSMEG_2167	NA
MSMEG_2168	NA
MSMEG_2169	NA
MSMEG_2170	NA
MSMEG_2171	NA
MSMEG_2172	NA
MSMEG_2173	-1.00
MSMEG_2174	-1.90
MSMEG_2175	NA
MSMEG_2176	-0.80
MSMEG_2177	NA
MSMEG_2178	NA
MSMEG_2179	-4.60
MSMEG_2180	NA
MSMEG_2181	NA
MSMEG_2182	-6.80
MSMEG_2183	NA
MSMEG_2184	NA
MSMEG_2185	NA
MSMEG_2186	NA
MSMEG_2187	NA
MSMEG_2188	-2.70
MSMEG_2189	-3.60
MSMEG_2190	NA
MSMEG_2191	-1.80
MSMEG_2192	-1.90
MSMEG_2193	NA
MSMEG_2194	NA
MSMEG_2195	-0.60
MSMEG_2196	-2.90
MSMEG_2197	-2.60
MSMEG_2198	-4.80
MSMEG_2199	-3.50
MSMEG_2200	-1.30
MSMEG_2201	-3.00
MSMEG_2202	-0.50
MSMEG_2203	NA
MSMEG_2204	-1.70
MSMEG_2205	-5.00
MSMEG_2206	-5.50
MSMEG_2207	NA
MSMEG_2208	NA
MSMEG_2209	NA
MSMEG_2211	-1.10
MSMEG_2212	NA
MSMEG_2213	NA
MSMEG_2214	NA
MSMEG_2215	NA
MSMEG_2216	NA
MSMEG_2217	NA
MSMEG_2218	NA
MSMEG_2219	NA
MSMEG_2220	NA
MSMEG_2221	NA
MSMEG_2222	NA
MSMEG_2223	NA
MSMEG_2224	0.00
MSMEG_2225	-4.80
MSMEG_2226	-3.50
MSMEG_2227	0.00
MSMEG_2228	NA
MSMEG_2229	NA
MSMEG_2230	NA
MSMEG_2231	NA
MSMEG_2232	NA
MSMEG_2233	NA
MSMEG_2234	NA
MSMEG_2235	NA
MSMEG_2236	NA
MSMEG_2237	NA
MSMEG_2238	NA
MSMEG_2239	NA
MSMEG_2240	NA
MSMEG_2241	NA
MSMEG_2242	NA
MSMEG_2243	NA
MSMEG_2244	NA
