gene	Pattern_cls_hypoxia
MSMEG_1448	Med-slow
MSMEG_1451	Fast
MSMEG_1452	Med-fast
MSMEG_1453	Fast
MSMEG_1455	Med-slow
MSMEG_1465	Med-slow
MSMEG_1475	Fast
MSMEG_1476	Med-slow
MSMEG_1477	Med-fast
MSMEG_1478	Slow
MSMEG_1479	Med-fast
MSMEG_1480	Med-slow
MSMEG_1483	Med-fast
MSMEG_1486	Slow
MSMEG_1487	Med-slow
MSMEG_1488	Med-fast
MSMEG_1491	Med-slow
MSMEG_1492	Med-fast
MSMEG_1493	Med-slow
MSMEG_1494	Med-slow
MSMEG_1496	Slow
MSMEG_1497	Slow
MSMEG_1498	Med-slow
MSMEG_1501	Fast
MSMEG_1502	Med-slow
MSMEG_1503	Med-fast
MSMEG_1504	Slow
MSMEG_1505	Med-fast
MSMEG_1506	Med-fast
MSMEG_1508	Med-slow
MSMEG_1509	Fast
MSMEG_1510	Med-fast
MSMEG_1511	Med-slow
MSMEG_1512	Med-slow
MSMEG_1513	Med-slow
MSMEG_1514	Med-slow
MSMEG_1515	Med-fast
MSMEG_1516	Fast
MSMEG_1517	Med-slow
MSMEG_1518	Med-fast
MSMEG_1519	Fast
MSMEG_1520	Med-fast
MSMEG_1521	Slow
MSMEG_1522	Slow
MSMEG_1526	Fast
MSMEG_1528	Med-fast
MSMEG_1529	Med-slow
MSMEG_1530	Med-fast
MSMEG_1531	Fast
MSMEG_1534	Med-fast
MSMEG_1536	Med-slow
MSMEG_1539	Fast
MSMEG_1540	Med-fast
MSMEG_1541	Med-slow
MSMEG_1542	Med-slow
MSMEG_1545	Med-fast
MSMEG_1546	Med-slow
MSMEG_1547	Med-slow
MSMEG_1548	Slow
MSMEG_1552	Med-slow
MSMEG_1553	Med-slow
MSMEG_1554	Med-slow
MSMEG_1556	Med-slow
MSMEG_1559	Med-slow
MSMEG_1560	Med-fast
MSMEG_1561	Med-fast
MSMEG_1565	Fast
MSMEG_1566	Med-slow
MSMEG_1567	Med-slow
MSMEG_1568	Med-fast
MSMEG_1570	Slow
MSMEG_1571	Med-fast
MSMEG_1572	Slow
MSMEG_1573	Med-fast
MSMEG_1574	Med-fast
MSMEG_1575	Fast
MSMEG_1576	Med-fast
MSMEG_1577	Med-slow
MSMEG_1578	Slow
MSMEG_1579	Slow
MSMEG_1580	Med-slow
MSMEG_1581	Slow
MSMEG_1585	Fast
MSMEG_1586	Fast
MSMEG_1591	Fast
MSMEG_1592	Fast
MSMEG_1594	Med-fast
MSMEG_1596	Med-slow
MSMEG_1597	Med-slow
MSMEG_1598	Med-slow
MSMEG_1599	Fast
MSMEG_1600	Med-fast
MSMEG_1601	Fast
MSMEG_1602	Med-fast
MSMEG_1603	Med-slow
MSMEG_1604	Med-fast
MSMEG_1605	Med-slow
MSMEG_1606	Med-fast
MSMEG_1607	Med-slow
MSMEG_1608	Med-slow
MSMEG_1609	Fast
MSMEG_1610	Med-fast
MSMEG_1611	Med-slow
MSMEG_1612	Med-fast
MSMEG_1617	Med-slow
MSMEG_1618	Med-fast
MSMEG_1620	Med-slow
MSMEG_1621	Med-fast
MSMEG_1623	Med-slow
MSMEG_1625	Med-slow
MSMEG_1626	Med-fast
MSMEG_1629	Med-slow
MSMEG_1631	Med-fast
MSMEG_1632	Med-slow
MSMEG_1633	Med-slow
MSMEG_1634	Med-slow
MSMEG_1635	Slow
MSMEG_1637	Slow
MSMEG_1638	Med-slow
MSMEG_1639	Fast
MSMEG_1640	Fast
MSMEG_1641	Med-fast
MSMEG_1642	Med-fast
MSMEG_1643	Slow
MSMEG_1644	Med-fast
MSMEG_1645	Med-fast
MSMEG_1646	Med-fast
MSMEG_1647	Med-fast
MSMEG_1649	Med-slow
MSMEG_1652	Slow
MSMEG_1653	Fast
MSMEG_1654	Med-fast
MSMEG_1655	Slow
MSMEG_1656	Fast
MSMEG_1657	Fast
MSMEG_1658	Med-slow
MSMEG_1659	Med-fast
MSMEG_1660	Slow
MSMEG_1661	Fast
MSMEG_1662	Slow
MSMEG_1663	Med-slow
MSMEG_1665	Slow
MSMEG_1666	Med-fast
MSMEG_1668	Med-slow
MSMEG_1670	Slow
MSMEG_1672	Slow
MSMEG_1673	Med-fast
MSMEG_1675	Fast
MSMEG_1676	Med-fast
MSMEG_1677	Slow
MSMEG_1678	Med-fast
MSMEG_1679	Slow
MSMEG_1680	Med-slow
MSMEG_1681	Slow
MSMEG_1682	Slow
MSMEG_1683	Slow
MSMEG_1684	Slow
MSMEG_1692	Fast
MSMEG_1694	Med-slow
MSMEG_1695	Med-slow
MSMEG_1698	Med-slow
MSMEG_1700	Med-fast
MSMEG_1701	Slow
MSMEG_1702	Fast
MSMEG_1703	Med-fast
MSMEG_1704	Slow
MSMEG_1707	Med-slow
MSMEG_1708	Fast
MSMEG_1716	Fast
MSMEG_1717	Med-fast
MSMEG_1718	Fast
MSMEG_1719	Fast
MSMEG_1720	Med-slow
MSMEG_1721	Med-slow
MSMEG_1722	Fast
MSMEG_1724	Fast
MSMEG_1725	Fast
MSMEG_1726	Fast
MSMEG_1728	Med-slow
MSMEG_1729	Fast
MSMEG_1730	Med-slow
MSMEG_1731	Med-slow
MSMEG_1732	Med-fast
MSMEG_1734	Fast
MSMEG_1735	Med-slow
MSMEG_1736	Med-fast
MSMEG_1737	Med-slow
MSMEG_1738	Fast
MSMEG_1739	Med-slow
MSMEG_1740	Slow
MSMEG_1741	Med-slow
MSMEG_1744	Med-fast
MSMEG_1745	Fast
MSMEG_1751	Med-fast
MSMEG_1752	Fast
MSMEG_1753	Med-fast
MSMEG_1754	Med-slow
MSMEG_1755	Med-slow
MSMEG_1756	Slow
MSMEG_1757	Med-fast
MSMEG_1758	Med-fast
MSMEG_1759	Med-fast
MSMEG_1760	Slow
MSMEG_1761	Med-slow
MSMEG_1762	Med-slow
MSMEG_1764	Fast
MSMEG_1765	Med-slow
MSMEG_1766	Med-slow
MSMEG_1770	Med-slow
MSMEG_1771	Med-slow
MSMEG_1772	Med-slow
MSMEG_1773	Med-slow
MSMEG_1775	Med-fast
MSMEG_1776	Fast
MSMEG_1777	Med-slow
MSMEG_1779	Med-slow
MSMEG_1780	Med-slow
MSMEG_1781	Med-slow
MSMEG_1782	Med-fast
MSMEG_1784	Fast
MSMEG_1785	Med-fast
MSMEG_1786	Fast
MSMEG_1787	Med-fast
MSMEG_1788	Med-slow
MSMEG_1789	Med-slow
MSMEG_1790	Med-slow
MSMEG_1791	Med-fast
MSMEG_1794	Med-slow
MSMEG_1795	Med-fast
MSMEG_1796	Med-fast
MSMEG_1797	Med-slow
MSMEG_1798	Fast
MSMEG_1799	Med-fast
MSMEG_1803	Med-slow
MSMEG_1804	Med-slow
MSMEG_1805	Med-slow
MSMEG_1806	Med-slow
MSMEG_1807	Med-fast
MSMEG_1808	Med-fast
MSMEG_1809	Fast
MSMEG_1810	Med-fast
MSMEG_1811	Med-fast
MSMEG_1812	Med-slow
MSMEG_1813	Med-fast
MSMEG_1815	Med-fast
MSMEG_1817	Fast
MSMEG_1818	Fast
MSMEG_1819	Med-fast
MSMEG_1820	Med-slow
MSMEG_1821	Med-fast
MSMEG_1822	Med-slow
MSMEG_1823	Med-slow
MSMEG_1824	Med-fast
MSMEG_1825	Med-fast
MSMEG_1826	Med-fast
MSMEG_1827	Slow
MSMEG_1829	Med-slow
MSMEG_1830	Med-slow
MSMEG_1831	Fast
MSMEG_1832	Fast
MSMEG_1833	Fast
MSMEG_1834	Fast
MSMEG_1835	Med-slow
MSMEG_1836	Med-slow
MSMEG_1838	Med-fast
MSMEG_1839	Slow
MSMEG_1841	Med-slow
MSMEG_1842	Fast
MSMEG_1844	Fast
MSMEG_1845	Med-fast
MSMEG_1849	Med-slow
MSMEG_1850	Fast
MSMEG_1852	Med-fast
MSMEG_1854	Fast
MSMEG_1855	Med-fast
MSMEG_1861	Med-slow
MSMEG_1862	Med-fast
MSMEG_1863	Fast
MSMEG_1864	Fast
MSMEG_1865	Med-fast
MSMEG_1866	Med-fast
MSMEG_1867	Med-fast
MSMEG_1868	Med-fast
MSMEG_1869	Med-fast
MSMEG_1870	Med-fast
MSMEG_1871	Med-slow
MSMEG_1872	Fast
MSMEG_1873	Med-slow
MSMEG_1874	Fast
MSMEG_1875	Med-slow
MSMEG_1876	Slow
MSMEG_1877	Med-slow
MSMEG_1878	Med-fast
MSMEG_1880	Fast
MSMEG_1881	Med-slow
MSMEG_1882	Med-fast
MSMEG_1883	Med-fast
MSMEG_1884	Med-slow
MSMEG_1885	Med-slow
MSMEG_1888	Med-slow
MSMEG_1889	Med-slow
MSMEG_1890	Med-fast
MSMEG_1891	Med-fast
MSMEG_1892	Med-slow
MSMEG_1893	Fast
MSMEG_1894	Med-fast
MSMEG_1895	Fast
MSMEG_1900	Fast
MSMEG_1901	Med-fast
MSMEG_1902	Med-fast
MSMEG_1909	Fast
MSMEG_1913	Med-fast
MSMEG_1914	Fast
MSMEG_1915	Med-slow
MSMEG_1916	Fast
MSMEG_1917	Fast
MSMEG_1918	Med-fast
MSMEG_1919	Fast
MSMEG_1920	Med-fast
MSMEG_1921	Med-fast
MSMEG_1922	Med-fast
MSMEG_1923	Med-fast
MSMEG_1924	Slow
MSMEG_1925	Med-slow
MSMEG_1926	Med-fast
MSMEG_1927	Med-fast
MSMEG_1928	Med-fast
MSMEG_1929	Slow
MSMEG_1930	Med-fast
MSMEG_1931	Med-slow
MSMEG_1932	Fast
MSMEG_1933	Med-fast
MSMEG_1934	Med-fast
MSMEG_1935	Fast
MSMEG_1936	Fast
MSMEG_1937	Med-fast
MSMEG_1938	Med-fast
MSMEG_1939	Med-slow
MSMEG_1940	Med-fast
MSMEG_1941	Slow
MSMEG_1942	Fast
MSMEG_1943	Slow
MSMEG_1944	Med-slow
MSMEG_1945	Med-fast
MSMEG_1946	Med-slow
MSMEG_1947	Fast
MSMEG_1949	Slow
MSMEG_1950	Med-fast
MSMEG_1951	Med-slow
MSMEG_1952	Med-slow
MSMEG_1953	Med-fast
MSMEG_1954	Med-fast
MSMEG_1955	Med-fast
MSMEG_1957	Fast
MSMEG_1958	Med-fast
MSMEG_1959	Slow
MSMEG_1960	Med-fast
MSMEG_1961	Med-slow
MSMEG_1962	Med-fast
MSMEG_1963	Med-fast
MSMEG_1966	Fast
MSMEG_1967	Fast
MSMEG_1968	Fast
MSMEG_1969	Fast
MSMEG_1980	Med-fast
MSMEG_1981	Fast
MSMEG_1982	Med-fast
MSMEG_1985	Med-fast
MSMEG_1986	Med-fast
MSMEG_1988	Med-fast
MSMEG_1989	Fast
MSMEG_1991	Med-slow
MSMEG_1992	Med-slow
MSMEG_1993	Med-slow
MSMEG_1995	Med-fast
MSMEG_1996	Med-fast
MSMEG_1997	Med-slow
MSMEG_1998	Slow
MSMEG_1999	Fast
MSMEG_2002	Med-fast
MSMEG_2003	Med-slow
MSMEG_2006	Fast
MSMEG_2007	Fast
MSMEG_2008	Fast
MSMEG_2009	Fast
MSMEG_2010	Fast
MSMEG_2014	Slow
MSMEG_2015	Slow
MSMEG_2016	Med-slow
MSMEG_2017	Med-fast
MSMEG_2019	Slow
MSMEG_2021	Med-fast
MSMEG_2022	Fast
MSMEG_2025	Med-fast
MSMEG_2026	Med-slow
MSMEG_2027	Fast
MSMEG_2029	Slow
MSMEG_2030	Fast
MSMEG_2032	Med-fast
MSMEG_2033	Med-slow
MSMEG_2035	Med-slow
MSMEG_2036	Fast
MSMEG_2037	Slow
MSMEG_2038	Med-fast
MSMEG_2039	Med-fast
MSMEG_2040	Med-fast
MSMEG_2042	Med-fast
MSMEG_2043	Fast
MSMEG_2044	Med-slow
MSMEG_2045	Slow
MSMEG_2046	Fast
MSMEG_2048	Med-fast
MSMEG_2049	Fast
MSMEG_2050	Slow
MSMEG_2051	Slow
MSMEG_2052	Slow
MSMEG_2054	Slow
MSMEG_2056	Med-fast
MSMEG_2057	Med-slow
MSMEG_2058	Slow
MSMEG_2060	Med-fast
MSMEG_2061	Fast
MSMEG_2062	Med-fast
MSMEG_2063	Fast
MSMEG_2064	Fast
MSMEG_2065	Med-slow
MSMEG_2066	Slow
MSMEG_2068	Slow
MSMEG_2069	Slow
MSMEG_2070	Slow
MSMEG_2071	Med-fast
MSMEG_2072	Med-fast
MSMEG_2073	Med-slow
MSMEG_2075	Med-fast
MSMEG_2076	Fast
MSMEG_2077	Med-slow
MSMEG_2078	Med-slow
MSMEG_2079	Med-slow
MSMEG_2080	Med-fast
MSMEG_2081	Fast
MSMEG_2083	Med-slow
MSMEG_2084	Fast
MSMEG_2086	Med-fast
MSMEG_2087	Med-fast
MSMEG_2088	Slow
MSMEG_2089	Med-fast
MSMEG_2090	Med-slow
MSMEG_2091	Med-slow
MSMEG_2092	Med-slow
MSMEG_2094	Med-slow
MSMEG_2095	Med-fast
MSMEG_2097	Fast
MSMEG_2104	Med-fast
MSMEG_2105	Fast
MSMEG_2106	Med-fast
MSMEG_2107	Med-fast
MSMEG_2109	Med-slow
MSMEG_2110	Slow
MSMEG_2111	Med-fast
MSMEG_2112	Med-slow
MSMEG_2113	Slow
MSMEG_2114	Slow
MSMEG_2115	Med-slow
MSMEG_2117	Med-slow
MSMEG_2118	Med-slow
MSMEG_2119	Slow
MSMEG_2120	Med-slow
MSMEG_2121	Slow
MSMEG_2122	Med-slow
MSMEG_2123	Med-slow
MSMEG_2124	Med-fast
MSMEG_2127	Med-fast
MSMEG_2133	Med-slow
MSMEG_2134	Med-fast
MSMEG_2135	Fast
MSMEG_2136	Med-fast
MSMEG_2137	Med-slow
MSMEG_2139	Fast
MSMEG_2140	Med-fast
MSMEG_2142	Fast
MSMEG_2143	Fast
MSMEG_2144	Fast
MSMEG_2146	Med-fast
MSMEG_2148	Slow
MSMEG_2149	Fast
MSMEG_2153	Med-fast
MSMEG_2157	Med-slow
MSMEG_2158	Fast
MSMEG_2162	Med-slow
MSMEG_2163	Med-fast
MSMEG_2164	Med-fast
MSMEG_2169	Med-fast
MSMEG_2171	Fast
MSMEG_2173	Fast
MSMEG_2174	Med-slow
MSMEG_2176	Med-fast
MSMEG_2177	Med-fast
MSMEG_2179	Med-fast
MSMEG_2182	Fast
MSMEG_2183	Med-slow
MSMEG_2187	Med-slow
MSMEG_2188	Med-slow
MSMEG_2189	Med-slow
MSMEG_2190	Med-fast
MSMEG_2191	Med-slow
MSMEG_2192	Fast
MSMEG_2193	Med-fast
MSMEG_2194	Fast
MSMEG_2195	Fast
MSMEG_2196	Med-fast
MSMEG_2197	Fast
MSMEG_2198	Med-slow
MSMEG_2200	Fast
MSMEG_2201	Med-fast
MSMEG_2202	Med-slow
MSMEG_2203	Med-slow
MSMEG_2204	Med-slow
MSMEG_2205	Med-fast
MSMEG_2206	Med-fast
MSMEG_2207	Med-slow
MSMEG_2208	Med-slow
MSMEG_2211	Fast
MSMEG_2213	Med-slow
MSMEG_2217	Med-fast
MSMEG_2219	Fast
MSMEG_2224	Med-slow
MSMEG_2225	Fast
MSMEG_2226	Fast
MSMEG_2228	Med-slow
MSMEG_2235	Med-fast
MSMEG_2242	Med-slow
MSMEG_2245	Med-fast
MSMEG_2246	Med-fast
MSMEG_2248	Med-slow
MSMEG_2249	Med-fast
MSMEG_2251	Fast
MSMEG_2252	Med-fast
MSMEG_2257	Med-fast
MSMEG_2258	Med-slow
MSMEG_2259	Med-slow
MSMEG_2260	Med-fast
MSMEG_2261	Fast
MSMEG_2262	Med-fast
MSMEG_2263	Med-slow
MSMEG_2264	Med-slow
MSMEG_2265	Med-fast
MSMEG_2266	Med-slow
MSMEG_2267	Med-slow
MSMEG_2268	Med-slow
MSMEG_2269	Med-slow
MSMEG_2270	Med-slow
MSMEG_2271	Fast
MSMEG_2272	Fast
MSMEG_2273	Med-fast
MSMEG_2274	Med-slow
MSMEG_2275	Med-slow
MSMEG_2276	Med-slow
MSMEG_2277	Fast
MSMEG_2278	Med-slow
MSMEG_2280	Med-fast
MSMEG_2282	Med-fast
MSMEG_2283	Med-fast
MSMEG_2284	Fast
MSMEG_2286	Med-fast
MSMEG_2287	Fast
MSMEG_2288	Fast
MSMEG_2289	Med-slow
MSMEG_2290	Fast
MSMEG_2291	Med-fast
MSMEG_2292	Med-slow
MSMEG_2293	Med-slow
MSMEG_2294	Fast
MSMEG_2295	Med-slow
MSMEG_2297	Fast
MSMEG_2299	Med-fast
MSMEG_2301	Fast
MSMEG_2303	Med-slow
MSMEG_2304	Slow
MSMEG_2305	Med-slow
MSMEG_2306	Fast
MSMEG_2308	Med-fast
MSMEG_2309	Fast
MSMEG_2310	Med-fast
MSMEG_2311	Slow
MSMEG_2312	Fast
MSMEG_2313	Fast
MSMEG_2314	Med-fast
MSMEG_2315	Med-slow
MSMEG_2317	Med-fast
MSMEG_2318	Med-fast
MSMEG_2319	Slow
MSMEG_2321	Med-slow
MSMEG_2322	Med-fast
MSMEG_2323	Med-slow
MSMEG_2324	Med-slow
MSMEG_2325	Med-slow
MSMEG_2326	Med-fast
MSMEG_2327	Med-slow
MSMEG_2328	Med-slow
MSMEG_2329	Slow
MSMEG_2330	Slow
MSMEG_2331	Fast
MSMEG_2332	Med-fast
MSMEG_2333	Med-slow
MSMEG_2335	Slow
MSMEG_2337	Med-slow
MSMEG_2338	Med-fast
MSMEG_2339	Med-fast
MSMEG_2340	Med-slow
MSMEG_2341	Med-slow
MSMEG_2342	Med-slow
MSMEG_2344	Slow
MSMEG_2346	Med-slow
MSMEG_2347	Med-slow
MSMEG_2350	Slow
MSMEG_2351	Med-fast
MSMEG_2352	Slow
MSMEG_2353	Med-fast
MSMEG_2354	Med-fast
MSMEG_2357	Fast
MSMEG_2358	Med-fast
MSMEG_2359	Slow
MSMEG_2360	Med-slow
MSMEG_2362	Med-fast
MSMEG_2363	Med-slow
MSMEG_2364	Fast
MSMEG_2365	Med-fast
MSMEG_2367	Med-fast
MSMEG_2368	Med-fast
MSMEG_2369	Med-slow
MSMEG_2370	Med-fast
MSMEG_2371	Fast
MSMEG_2372	Slow
MSMEG_2373	Med-fast
MSMEG_2374	Slow
MSMEG_2375	Med-fast
MSMEG_2376	Med-fast
MSMEG_2377	Med-fast
MSMEG_2378	Med-fast
MSMEG_2379	Med-slow
MSMEG_2380	Med-slow
MSMEG_2381	Med-slow
MSMEG_2382	Med-slow
MSMEG_2383	Slow
MSMEG_2386	Med-fast
MSMEG_2387	Med-slow
MSMEG_2388	Slow
MSMEG_2389	Med-slow
MSMEG_2390	Med-slow
MSMEG_2391	Med-fast
MSMEG_2392	Med-fast
MSMEG_2393	Fast
MSMEG_2394	Med-slow
MSMEG_2395	Med-fast
MSMEG_2396	Med-fast
MSMEG_2397	Fast
MSMEG_2398	Med-fast
MSMEG_2399	Med-fast
MSMEG_2400	Fast
MSMEG_2401	Med-fast
MSMEG_2402	Med-slow
MSMEG_2403	Slow
MSMEG_2406	Med-slow
MSMEG_2407	Med-fast
MSMEG_2408	Med-fast
MSMEG_2409	Med-slow
MSMEG_2410	Fast
MSMEG_2411	Med-fast
MSMEG_2412	Slow
MSMEG_2413	Slow
MSMEG_2414	Slow
MSMEG_2415	Fast
MSMEG_2416	Fast
MSMEG_2417	Fast
MSMEG_2418	Fast
MSMEG_2419	Med-slow
MSMEG_2420	Fast
MSMEG_2421	Med-slow
MSMEG_2422	Med-fast
MSMEG_2423	Med-fast
MSMEG_2424	Med-fast
MSMEG_2425	Slow
MSMEG_2426	Med-slow
MSMEG_2427	Slow
MSMEG_2428	Fast
MSMEG_2429	Fast
MSMEG_2430	Med-fast
MSMEG_2431	Med-slow
MSMEG_2432	Med-fast
MSMEG_2434	Fast
MSMEG_2435	Med-slow
MSMEG_2436	Med-slow
MSMEG_2437	Slow
MSMEG_2439	Fast
MSMEG_2440	Med-fast
MSMEG_2441	Med-fast
MSMEG_2442	Med-fast
MSMEG_2443	Fast
MSMEG_2444	Med-fast
MSMEG_2445	Fast
MSMEG_2446	Med-fast
MSMEG_2447	Med-fast
MSMEG_2449	Fast
MSMEG_2450	Med-slow
MSMEG_2451	Med-fast
MSMEG_2452	Med-slow
MSMEG_2453	Fast
MSMEG_2454	Med-fast
MSMEG_2455	Med-slow
MSMEG_2456	Fast
MSMEG_2457	Med-fast
MSMEG_2458	Med-fast
MSMEG_2459	Med-slow
MSMEG_2460	Med-slow
MSMEG_2461	Slow
MSMEG_2462	Med-slow
MSMEG_2463	Slow
MSMEG_2464	Med-slow
MSMEG_2465	Med-slow
MSMEG_2466	Med-slow
MSMEG_2467	Med-slow
MSMEG_2468	Slow
MSMEG_2469	Slow
MSMEG_2470	Med-slow
MSMEG_2471	Med-fast
MSMEG_2475	Med-slow
MSMEG_2476	Fast
MSMEG_2477	Med-fast
MSMEG_2478	Fast
MSMEG_2480	Med-slow
MSMEG_2481	Med-slow
MSMEG_2482	Med-slow
MSMEG_2483	Fast
MSMEG_2484	Fast
MSMEG_2486	Med-slow
MSMEG_2487	Med-fast
MSMEG_2488	Med-fast
MSMEG_2490	Med-fast
MSMEG_2492	Med-fast
MSMEG_2494	Fast
MSMEG_2495	Fast
MSMEG_2496	Fast
MSMEG_2497	Slow
MSMEG_2498	Slow
MSMEG_2500	Med-fast
MSMEG_2502	Med-slow
MSMEG_2503	Med-fast
MSMEG_2504	Med-slow
MSMEG_2505	Med-slow
MSMEG_2506	Med-fast
MSMEG_2511	Slow
MSMEG_2512	Med-slow
MSMEG_2515	Fast
MSMEG_2516	Med-fast
MSMEG_2517	Med-fast
MSMEG_2519	Fast
MSMEG_2520	Slow
MSMEG_2521	Med-fast
MSMEG_2522	Med-slow
MSMEG_2525	Med-fast
MSMEG_2526	Med-fast
MSMEG_2527	Fast
MSMEG_2528	Slow
MSMEG_2529	Med-slow
MSMEG_2532	Med-slow
MSMEG_2538	Med-slow
MSMEG_2540	Fast
MSMEG_2541	Med-fast
MSMEG_2542	Med-fast
MSMEG_2543	Med-fast
MSMEG_2544	Fast
MSMEG_2545	Med-fast
MSMEG_2546	Med-fast
MSMEG_2547	Med-slow
MSMEG_2549	Med-fast
MSMEG_2551	Med-slow
MSMEG_2552	Fast
MSMEG_2553	Fast
MSMEG_2554	Med-fast
MSMEG_2555	Med-slow
MSMEG_2556	Fast
MSMEG_2558	Med-fast
MSMEG_2559	Fast
MSMEG_2560	Med-slow
MSMEG_2561	Fast
MSMEG_2562	Med-slow
MSMEG_2563	Med-fast
MSMEG_2570	Med-slow
MSMEG_2572	Med-fast
MSMEG_2573	Fast
MSMEG_2575	Med-fast
MSMEG_2576	Med-fast
MSMEG_2578	Med-fast
MSMEG_2579	Med-fast
MSMEG_2580	Med-slow
MSMEG_2581	Med-slow
MSMEG_2582	Med-slow
MSMEG_2583	Med-fast
MSMEG_2584	Med-fast
MSMEG_2585	Med-fast
MSMEG_2586	Fast
MSMEG_2587	Med-fast
MSMEG_2588	Med-fast
MSMEG_2590	Fast
MSMEG_2591	Fast
MSMEG_2592	Med-slow
MSMEG_2593	Slow
MSMEG_2594	Med-slow
MSMEG_2595	Med-fast
MSMEG_2596	Med-slow
MSMEG_2597	Med-slow
MSMEG_2598	Med-slow
MSMEG_2599	Slow
MSMEG_2600	Med-slow
MSMEG_2603	Med-fast
MSMEG_2605	Fast
MSMEG_2606	Med-fast
MSMEG_2607	Fast
MSMEG_2608	Med-slow
MSMEG_2609	Med-fast
MSMEG_2610	Med-slow
MSMEG_2611	Med-slow
MSMEG_2612	Fast
MSMEG_2613	Fast
MSMEG_2614	Med-slow
MSMEG_2615	Med-slow
MSMEG_2616	Slow
MSMEG_2617	Slow
MSMEG_2618	Med-slow
MSMEG_2619	Fast
MSMEG_2620	Med-fast
MSMEG_2621	Med-slow
MSMEG_2622	Med-fast
MSMEG_2623	Med-fast
MSMEG_2624	Fast
MSMEG_2625	Med-fast
MSMEG_2626	Med-fast
MSMEG_2628	Slow
MSMEG_2629	Slow
MSMEG_2630	Slow
MSMEG_2631	Med-slow
MSMEG_2634	Med-fast
MSMEG_2636	Fast
MSMEG_2637	Med-fast
MSMEG_2639	Med-fast
MSMEG_2641	Slow
MSMEG_2642	Med-fast
MSMEG_2643	Fast
MSMEG_2644	Med-fast
MSMEG_2645	Med-slow
MSMEG_2646	Fast
MSMEG_2647	Fast
MSMEG_2648	Med-fast
MSMEG_2649	Med-slow
MSMEG_2650	Slow
MSMEG_2651	Med-fast
MSMEG_2652	Fast
MSMEG_2653	Med-fast
MSMEG_2654	Med-slow
MSMEG_2655	Slow
MSMEG_2656	Med-fast
MSMEG_2657	Slow
MSMEG_2658	Med-fast
MSMEG_2659	Fast
MSMEG_2660	Fast
MSMEG_2661	Fast
MSMEG_2664	Med-fast
MSMEG_2665	Med-fast
MSMEG_2666	Fast
MSMEG_2667	Fast
MSMEG_2668	Fast
MSMEG_2669	Med-fast
MSMEG_2670	Fast
MSMEG_2671	Med-fast
MSMEG_2672	Med-slow
MSMEG_2673	Fast
MSMEG_2674	Med-fast
MSMEG_2675	Med-fast
MSMEG_2676	Med-fast
MSMEG_2677	Med-fast
MSMEG_2678	Fast
MSMEG_2679	Med-fast
MSMEG_2682	Med-fast
MSMEG_2683	Fast
MSMEG_2684	Fast
MSMEG_2685	Med-fast
MSMEG_2686	Med-fast
MSMEG_2687	Fast
MSMEG_2688	Fast
MSMEG_2689	Fast
MSMEG_2690	Med-slow
MSMEG_2691	Fast
MSMEG_2692	Med-fast
MSMEG_2693	Med-fast
MSMEG_2694	Fast
MSMEG_2695	Med-fast
MSMEG_2696	Med-slow
MSMEG_2697	Slow
MSMEG_2698	Med-slow
MSMEG_2699	Med-slow
MSMEG_2700	Fast
MSMEG_2701	Med-fast
MSMEG_2702	Slow
MSMEG_2703	Slow
MSMEG_2705	Slow
MSMEG_2706	Med-slow
MSMEG_2707	Slow
MSMEG_2708	Slow
MSMEG_2710	Med-slow
MSMEG_2711	Med-slow
MSMEG_2712	Slow
MSMEG_2713	Med-slow
MSMEG_2714	Med-fast
MSMEG_2715	Med-fast
MSMEG_2716	Slow
MSMEG_2717	Slow
MSMEG_2718	Slow
MSMEG_2719	Med-fast
MSMEG_2720	Fast
MSMEG_2723	Fast
MSMEG_2724	Med-fast
MSMEG_2726	Slow
MSMEG_2728	Med-slow
MSMEG_2729	Med-fast
MSMEG_2731	Med-slow
MSMEG_2732	Med-slow
MSMEG_2733	Slow
MSMEG_2734	Slow
MSMEG_2735	Med-fast
MSMEG_2736	Med-fast
MSMEG_2737	Med-slow
MSMEG_2738	Med-slow
MSMEG_2739	Med-fast
MSMEG_2740	Fast
MSMEG_2742	Med-slow
MSMEG_2743	Fast
MSMEG_2744	Med-fast
MSMEG_2746	Fast
MSMEG_2748	Med-slow
MSMEG_2750	Fast
MSMEG_2751	Med-slow
MSMEG_2752	Med-fast
MSMEG_2753	Med-fast
MSMEG_2754	Fast
MSMEG_2755	Med-fast
MSMEG_2756	Fast
MSMEG_2757	Med-fast
MSMEG_2758	Med-fast
MSMEG_2759	Fast
MSMEG_2760	Med-slow
MSMEG_2761	Med-fast
MSMEG_2762	Med-slow
MSMEG_2763	Fast
MSMEG_2764	Fast
MSMEG_2765	Fast
MSMEG_2766	Med-fast
MSMEG_2767	Slow
MSMEG_2768	Fast
MSMEG_2769	Med-fast
MSMEG_2770	Fast
MSMEG_2771	Med-fast
MSMEG_2772	Fast
MSMEG_2773	Med-fast
MSMEG_2774	Fast
MSMEG_2775	Med-fast
MSMEG_2776	Med-fast
MSMEG_2777	Med-fast
MSMEG_2778	Med-fast
MSMEG_2779	Med-fast
MSMEG_2780	Med-fast
MSMEG_2781	Med-fast
MSMEG_2782	Fast
MSMEG_2783	Fast
MSMEG_2784	Fast
MSMEG_2785	Med-fast
MSMEG_2786	Med-slow
MSMEG_2788	Med-fast
MSMEG_2789	Med-fast
