gene	Pattern_cls_logPhase
MSMEG_1391	Med-fast
MSMEG_1392	Med-fast
MSMEG_1393	Fast
MSMEG_1395	Med-fast
MSMEG_1396	Med-fast
MSMEG_1397	Fast
MSMEG_1398	Med-fast
MSMEG_1399	Med-fast
MSMEG_1402	Slow
MSMEG_1403	Med-fast
MSMEG_1404	Med-fast
MSMEG_1405	Med-fast
MSMEG_1410	Med-fast
MSMEG_1411	Med-fast
MSMEG_1412	Med-fast
MSMEG_1413	Med-slow
MSMEG_1415	Med-fast
MSMEG_1416	Med-fast
MSMEG_1417	Med-fast
MSMEG_1418	Fast
MSMEG_1419	Med-fast
MSMEG_1420	Slow
MSMEG_1423	Med-fast
MSMEG_1424	Slow
MSMEG_1425	Slow
MSMEG_1426	Slow
MSMEG_1427	Med-fast
MSMEG_1429	Slow
MSMEG_1430	Med-fast
MSMEG_1432	Med-fast
MSMEG_1433	Fast
MSMEG_1434	Fast
MSMEG_1435	Med-fast
MSMEG_1436	Med-fast
MSMEG_1437	Med-fast
MSMEG_1438	Med-fast
MSMEG_1439	Med-fast
MSMEG_1440	Med-fast
MSMEG_1441	Slow
MSMEG_1448	Fast
MSMEG_1451	Fast
MSMEG_1452	Med-fast
MSMEG_1453	Med-fast
MSMEG_1454	Med-fast
MSMEG_1455	Med-fast
MSMEG_1456	Med-fast
MSMEG_1457	Slow
MSMEG_1458	Slow
MSMEG_1460	Slow
MSMEG_1462	Slow
MSMEG_1463	Slow
MSMEG_1464	Med-fast
MSMEG_1465	Med-fast
MSMEG_1466	Med-fast
MSMEG_1467	Med-fast
MSMEG_1468	Med-fast
MSMEG_1469	Med-fast
MSMEG_1470	Med-fast
MSMEG_1471	Med-fast
MSMEG_1472	Slow
MSMEG_1473	Slow
MSMEG_1474	Med-fast
MSMEG_1475	Med-fast
MSMEG_1476	Slow
MSMEG_1477	Med-fast
MSMEG_1478	Fast
MSMEG_1479	Med-fast
MSMEG_1480	Slow
MSMEG_1481	Med-fast
MSMEG_1482	Med-fast
MSMEG_1483	Fast
MSMEG_1484	Fast
MSMEG_1485	Med-fast
MSMEG_1492	Med-fast
MSMEG_1493	Fast
MSMEG_1494	Med-fast
MSMEG_1495	Med-slow
MSMEG_1496	Med-slow
MSMEG_1497	Slow
MSMEG_1498	Slow
MSMEG_1499	Med-fast
MSMEG_1500	Fast
MSMEG_1501	Fast
MSMEG_1502	Med-fast
MSMEG_1503	Med-fast
MSMEG_1504	Slow
MSMEG_1505	Fast
MSMEG_1506	Fast
MSMEG_1507	Slow
MSMEG_1508	Med-slow
MSMEG_1509	Fast
MSMEG_1510	Fast
MSMEG_1511	Med-fast
MSMEG_1512	Med-slow
MSMEG_1513	Slow
MSMEG_1514	Slow
MSMEG_1515	Fast
MSMEG_1516	Med-fast
MSMEG_1517	Med-fast
MSMEG_1518	Med-fast
MSMEG_1519	Med-fast
MSMEG_1520	Med-fast
MSMEG_1521	Slow
MSMEG_1522	Med-fast
MSMEG_1523	Med-fast
MSMEG_1524	Slow
MSMEG_1525	Slow
MSMEG_1526	Fast
MSMEG_1528	Med-fast
MSMEG_1529	Fast
MSMEG_1530	Med-slow
MSMEG_1531	Med-fast
MSMEG_1533	Slow
MSMEG_1534	Med-fast
MSMEG_1535	Med-slow
MSMEG_1536	Slow
MSMEG_1539	Fast
MSMEG_1540	Fast
MSMEG_1542	Med-fast
MSMEG_1543	Med-fast
MSMEG_1544	Slow
MSMEG_1545	Med-slow
MSMEG_1546	Slow
MSMEG_1547	Med-fast
MSMEG_1548	Med-fast
MSMEG_1551	Fast
MSMEG_1552	Med-fast
MSMEG_1553	Med-fast
MSMEG_1554	Med-fast
MSMEG_1556	Med-fast
MSMEG_1557	Med-fast
MSMEG_1559	Med-fast
MSMEG_1560	Fast
MSMEG_1561	Med-fast
MSMEG_1563	Slow
MSMEG_1565	Fast
MSMEG_1566	Fast
MSMEG_1567	Med-fast
MSMEG_1568	Fast
MSMEG_1570	Fast
MSMEG_1571	Med-slow
MSMEG_1572	Med-slow
MSMEG_1573	Med-slow
MSMEG_1574	Med-fast
MSMEG_1575	Med-fast
MSMEG_1576	Fast
MSMEG_1577	Med-fast
MSMEG_1578	Slow
MSMEG_1579	Slow
MSMEG_1582	Slow
MSMEG_1583	Slow
MSMEG_1584	Med-fast
MSMEG_1585	Med-fast
MSMEG_1591	Med-fast
MSMEG_1592	Fast
MSMEG_1594	Fast
MSMEG_1596	Med-fast
MSMEG_1597	Med-fast
MSMEG_1598	Med-fast
MSMEG_1599	Med-fast
MSMEG_1600	Fast
MSMEG_1601	Fast
MSMEG_1602	Fast
MSMEG_1603	Fast
MSMEG_1604	Med-fast
MSMEG_1606	Slow
MSMEG_1608	Med-fast
MSMEG_1609	Med-fast
MSMEG_1610	Med-fast
MSMEG_1611	Fast
MSMEG_1617	Med-fast
MSMEG_1618	Slow
MSMEG_1620	Med-fast
MSMEG_1621	Med-fast
MSMEG_1622	Slow
MSMEG_1623	Med-fast
MSMEG_1625	Med-fast
MSMEG_1626	Slow
MSMEG_1627	Med-fast
MSMEG_1629	Med-fast
MSMEG_1631	Med-fast
MSMEG_1632	Med-fast
MSMEG_1633	Med-fast
MSMEG_1634	Fast
MSMEG_1635	Slow
MSMEG_1636	Fast
MSMEG_1637	Med-fast
MSMEG_1638	Med-fast
MSMEG_1639	Med-fast
MSMEG_1640	Med-fast
MSMEG_1641	Med-fast
MSMEG_1642	Med-fast
MSMEG_1643	Med-fast
MSMEG_1644	Med-fast
MSMEG_1645	Med-fast
MSMEG_1647	Med-fast
MSMEG_1648	Fast
MSMEG_1649	Med-fast
MSMEG_1650	Med-fast
MSMEG_1651	Med-fast
MSMEG_1652	Med-fast
MSMEG_1653	Med-slow
MSMEG_1654	Slow
MSMEG_1655	Slow
MSMEG_1656	Med-fast
MSMEG_1657	Fast
MSMEG_1658	Fast
MSMEG_1659	Med-fast
MSMEG_1660	Slow
MSMEG_1661	Fast
MSMEG_1662	Med-slow
MSMEG_1663	Med-fast
MSMEG_1664	Med-fast
MSMEG_1665	Slow
MSMEG_1666	Med-fast
MSMEG_1669	Slow
MSMEG_1670	Med-fast
MSMEG_1671	Med-fast
MSMEG_1672	Med-fast
MSMEG_1673	Med-fast
MSMEG_1675	Med-slow
MSMEG_1676	Slow
MSMEG_1678	Med-fast
MSMEG_1682	Med-fast
MSMEG_1683	Med-fast
MSMEG_1684	Med-fast
MSMEG_1685	Fast
MSMEG_1686	Med-fast
MSMEG_1687	Med-slow
MSMEG_1692	Med-fast
MSMEG_1693	Med-fast
MSMEG_1694	Med-fast
MSMEG_1695	Med-fast
MSMEG_1698	Fast
MSMEG_1701	Med-fast
MSMEG_1702	Med-fast
MSMEG_1703	Fast
MSMEG_1706	Slow
MSMEG_1707	Med-fast
MSMEG_1708	Med-fast
MSMEG_1716	Fast
MSMEG_1717	Fast
MSMEG_1720	Med-fast
MSMEG_1721	Med-fast
MSMEG_1725	Fast
MSMEG_1726	Fast
MSMEG_1728	Med-fast
MSMEG_1729	Slow
MSMEG_1730	Med-fast
MSMEG_1731	Med-fast
MSMEG_1734	Fast
MSMEG_1735	Med-fast
MSMEG_1736	Med-fast
MSMEG_1737	Med-fast
MSMEG_1738	Fast
MSMEG_1739	Med-fast
MSMEG_1740	Fast
MSMEG_1741	Med-fast
MSMEG_1742	Med-fast
MSMEG_1743	Med-fast
MSMEG_1746	Med-fast
MSMEG_1747	Med-fast
MSMEG_1749	Med-fast
MSMEG_1751	Med-fast
MSMEG_1753	Med-fast
MSMEG_1755	Med-fast
MSMEG_1757	Med-fast
MSMEG_1760	Slow
MSMEG_1762	Med-slow
MSMEG_1763	Med-fast
MSMEG_1765	Fast
MSMEG_1776	Med-fast
MSMEG_1785	Med-slow
MSMEG_1786	Med-slow
MSMEG_1791	Med-fast
MSMEG_1795	Med-fast
MSMEG_1796	Med-fast
MSMEG_1797	Med-fast
MSMEG_1798	Med-fast
MSMEG_1799	Med-fast
MSMEG_1803	Med-slow
MSMEG_1804	Med-fast
MSMEG_1805	Med-fast
MSMEG_1806	Med-fast
MSMEG_1807	Med-fast
MSMEG_1808	Fast
MSMEG_1809	Med-fast
MSMEG_1810	Med-fast
MSMEG_1811	Fast
MSMEG_1812	Fast
MSMEG_1813	Fast
MSMEG_1817	Fast
MSMEG_1818	Fast
MSMEG_1819	Fast
MSMEG_1820	Med-fast
MSMEG_1821	Med-fast
MSMEG_1822	Med-fast
MSMEG_1823	Fast
MSMEG_1824	Med-fast
MSMEG_1825	Med-fast
MSMEG_1826	Fast
MSMEG_1827	Med-fast
MSMEG_1829	Med-fast
MSMEG_1830	Slow
MSMEG_1831	Fast
MSMEG_1832	Med-slow
MSMEG_1833	Med-slow
MSMEG_1834	Fast
MSMEG_1835	Fast
MSMEG_1836	Med-fast
MSMEG_1837	Med-fast
MSMEG_1838	Med-fast
MSMEG_1839	Slow
MSMEG_1840	Slow
MSMEG_1841	Med-fast
MSMEG_1842	Med-fast
MSMEG_1845	Slow
MSMEG_1846	Slow
MSMEG_1847	Med-fast
MSMEG_1849	Med-fast
MSMEG_1850	Fast
MSMEG_1852	Med-fast
MSMEG_1854	Fast
MSMEG_1855	Fast
MSMEG_1857	Med-fast
MSMEG_1861	Med-fast
MSMEG_1862	Fast
MSMEG_1863	Med-fast
MSMEG_1864	Med-fast
MSMEG_1865	Med-fast
MSMEG_1866	Med-fast
MSMEG_1867	Slow
MSMEG_1868	Slow
MSMEG_1869	Slow
MSMEG_1870	Med-fast
MSMEG_1872	Med-fast
MSMEG_1873	Med-fast
MSMEG_1874	Med-fast
MSMEG_1875	Med-fast
MSMEG_1879	Med-slow
MSMEG_1881	Fast
MSMEG_1882	Slow
MSMEG_1883	Med-fast
MSMEG_1884	Med-fast
MSMEG_1885	Slow
MSMEG_1886	Slow
MSMEG_1887	Slow
MSMEG_1888	Med-fast
MSMEG_1889	Fast
MSMEG_1890	Med-slow
MSMEG_1891	Fast
MSMEG_1892	Fast
MSMEG_1893	Med-fast
MSMEG_1896	Med-fast
MSMEG_1897	Med-fast
MSMEG_1899	Slow
MSMEG_1900	Med-fast
MSMEG_1901	Med-fast
MSMEG_1902	Med-fast
MSMEG_1903	Slow
MSMEG_1906	Slow
MSMEG_1910	Fast
MSMEG_1913	Med-fast
MSMEG_1914	Med-fast
MSMEG_1915	Slow
MSMEG_1916	Med-slow
MSMEG_1917	Med-fast
MSMEG_1918	Med-fast
MSMEG_1919	Slow
MSMEG_1920	Fast
MSMEG_1921	Med-fast
MSMEG_1922	Med-fast
MSMEG_1923	Med-fast
MSMEG_1924	Fast
MSMEG_1925	Med-fast
MSMEG_1926	Med-fast
MSMEG_1927	Med-slow
MSMEG_1928	Med-fast
MSMEG_1929	Slow
MSMEG_1930	Med-fast
MSMEG_1931	Med-fast
MSMEG_1932	Med-fast
MSMEG_1933	Med-fast
MSMEG_1934	Med-fast
MSMEG_1935	Fast
MSMEG_1936	Fast
MSMEG_1937	Fast
MSMEG_1938	Med-fast
MSMEG_1939	Slow
MSMEG_1940	Med-fast
MSMEG_1941	Med-fast
MSMEG_1942	Fast
MSMEG_1943	Slow
MSMEG_1944	Fast
MSMEG_1945	Fast
MSMEG_1946	Fast
MSMEG_1947	Slow
MSMEG_1952	Med-fast
MSMEG_1953	Slow
MSMEG_1954	Med-fast
MSMEG_1955	Med-fast
MSMEG_1957	Fast
MSMEG_1958	Fast
MSMEG_1959	Med-fast
MSMEG_1960	Slow
MSMEG_1962	Med-fast
MSMEG_1963	Med-fast
MSMEG_1967	Med-fast
MSMEG_1976	Slow
MSMEG_1977	Slow
MSMEG_1978	Slow
MSMEG_1980	Med-fast
MSMEG_1981	Slow
MSMEG_1982	Med-fast
MSMEG_1983	Fast
MSMEG_1985	Med-fast
MSMEG_1986	Med-fast
MSMEG_1988	Med-fast
MSMEG_1989	Slow
MSMEG_1991	Med-fast
MSMEG_1992	Med-fast
MSMEG_1994	Med-fast
MSMEG_1995	Med-fast
MSMEG_1996	Med-fast
MSMEG_1997	Fast
MSMEG_1998	Med-fast
MSMEG_1999	Med-fast
MSMEG_2000	Med-fast
MSMEG_2002	Med-fast
MSMEG_2003	Med-fast
MSMEG_2004	Slow
MSMEG_2005	Slow
MSMEG_2006	Med-fast
MSMEG_2007	Med-fast
MSMEG_2008	Fast
MSMEG_2009	Fast
MSMEG_2010	Fast
MSMEG_2013	Med-fast
MSMEG_2014	Med-fast
MSMEG_2015	Med-fast
MSMEG_2016	Med-fast
MSMEG_2017	Fast
MSMEG_2019	Med-fast
MSMEG_2021	Fast
MSMEG_2022	Med-fast
MSMEG_2025	Med-fast
MSMEG_2026	Med-fast
MSMEG_2027	Slow
MSMEG_2031	Slow
MSMEG_2032	Fast
MSMEG_2033	Slow
MSMEG_2035	Med-fast
MSMEG_2037	Slow
MSMEG_2038	Med-fast
MSMEG_2039	Med-fast
MSMEG_2040	Med-fast
MSMEG_2042	Fast
MSMEG_2043	Med-fast
MSMEG_2044	Med-slow
MSMEG_2045	Fast
MSMEG_2046	Fast
MSMEG_2048	Med-fast
MSMEG_2049	Med-fast
MSMEG_2050	Med-slow
MSMEG_2051	Med-slow
MSMEG_2052	Med-fast
MSMEG_2056	Slow
MSMEG_2058	Med-slow
MSMEG_2060	Med-slow
MSMEG_2064	Slow
MSMEG_2065	Slow
MSMEG_2066	Slow
MSMEG_2067	Med-fast
MSMEG_2072	Slow
MSMEG_2073	Slow
MSMEG_2074	Slow
MSMEG_2075	Med-fast
MSMEG_2077	Med-fast
MSMEG_2078	Med-fast
MSMEG_2079	Slow
MSMEG_2080	Slow
MSMEG_2081	Slow
MSMEG_2083	Med-fast
MSMEG_2084	Med-fast
MSMEG_2086	Fast
MSMEG_2087	Fast
MSMEG_2088	Fast
MSMEG_2089	Fast
MSMEG_2090	Fast
MSMEG_2091	Fast
MSMEG_2092	Med-fast
MSMEG_2095	Med-slow
MSMEG_2096	Slow
MSMEG_2097	Slow
MSMEG_2098	Slow
MSMEG_2102	Slow
MSMEG_2104	Med-slow
MSMEG_2105	Med-fast
MSMEG_2106	Med-fast
MSMEG_2107	Fast
MSMEG_2108	Med-fast
MSMEG_2109	Slow
MSMEG_2110	Med-fast
MSMEG_2111	Med-fast
MSMEG_2112	Slow
MSMEG_2113	Med-fast
MSMEG_2114	Med-fast
MSMEG_2116	Med-fast
MSMEG_2117	Slow
MSMEG_2118	Slow
MSMEG_2119	Med-slow
MSMEG_2121	Slow
MSMEG_2122	Med-fast
MSMEG_2123	Med-fast
MSMEG_2124	Med-fast
MSMEG_2125	Med-fast
MSMEG_2126	Med-fast
MSMEG_2128	Fast
MSMEG_2130	Med-fast
MSMEG_2131	Med-fast
MSMEG_2133	Med-fast
MSMEG_2134	Med-fast
MSMEG_2135	Med-fast
MSMEG_2136	Med-fast
MSMEG_2137	Med-fast
MSMEG_2140	Med-fast
MSMEG_2142	Fast
MSMEG_2143	Fast
MSMEG_2144	Fast
MSMEG_2146	Med-fast
MSMEG_2148	Med-slow
MSMEG_2151	Med-fast
MSMEG_2153	Med-slow
MSMEG_2155	Med-slow
MSMEG_2156	Med-slow
MSMEG_2157	Slow
MSMEG_2159	Slow
MSMEG_2162	Med-fast
MSMEG_2163	Slow
MSMEG_2164	Med-fast
MSMEG_2170	Med-slow
MSMEG_2172	Med-fast
MSMEG_2173	Fast
MSMEG_2174	Med-slow
MSMEG_2176	Med-fast
MSMEG_2179	Med-fast
MSMEG_2180	Slow
MSMEG_2182	Med-fast
MSMEG_2183	Slow
MSMEG_2187	Med-fast
MSMEG_2188	Slow
MSMEG_2189	Med-fast
MSMEG_2190	Med-fast
MSMEG_2191	Slow
MSMEG_2194	Med-fast
MSMEG_2195	Fast
MSMEG_2196	Med-fast
MSMEG_2197	Fast
MSMEG_2198	Slow
MSMEG_2199	Med-fast
MSMEG_2200	Med-fast
MSMEG_2201	Slow
MSMEG_2202	Med-fast
MSMEG_2203	Slow
MSMEG_2204	Med-fast
MSMEG_2205	Med-fast
MSMEG_2206	Med-fast
MSMEG_2207	Med-fast
MSMEG_2208	Med-fast
MSMEG_2211	Med-fast
MSMEG_2213	Med-fast
MSMEG_2216	Med-fast
MSMEG_2217	Med-fast
MSMEG_2219	Med-fast
MSMEG_2220	Med-fast
MSMEG_2224	Med-fast
MSMEG_2225	Med-fast
MSMEG_2226	Fast
MSMEG_2227	Med-fast
MSMEG_2228	Slow
MSMEG_2240	Med-slow
MSMEG_2246	Med-fast
MSMEG_2248	Med-fast
MSMEG_2249	Med-fast
MSMEG_2252	Med-fast
MSMEG_2254	Slow
MSMEG_2255	Med-fast
MSMEG_2258	Med-fast
MSMEG_2259	Med-fast
MSMEG_2261	Slow
MSMEG_2263	Slow
MSMEG_2265	Slow
MSMEG_2271	Fast
MSMEG_2272	Fast
MSMEG_2273	Med-fast
MSMEG_2277	Med-fast
MSMEG_2278	Med-fast
MSMEG_2280	Fast
MSMEG_2282	Med-fast
MSMEG_2283	Med-fast
MSMEG_2284	Med-fast
MSMEG_2285	Slow
MSMEG_2286	Med-fast
MSMEG_2287	Med-fast
MSMEG_2288	Med-slow
MSMEG_2289	Slow
MSMEG_2290	Fast
MSMEG_2291	Med-fast
MSMEG_2292	Med-fast
MSMEG_2293	Med-slow
MSMEG_2294	Fast
MSMEG_2295	Med-slow
MSMEG_2297	Med-fast
MSMEG_2299	Med-fast
MSMEG_2303	Med-fast
MSMEG_2305	Slow
MSMEG_2306	Med-fast
MSMEG_2307	Med-fast
MSMEG_2308	Med-fast
MSMEG_2309	Med-slow
MSMEG_2310	Fast
MSMEG_2311	Med-fast
MSMEG_2312	Med-fast
MSMEG_2313	Fast
MSMEG_2314	Med-fast
MSMEG_2315	Med-slow
MSMEG_2317	Med-fast
MSMEG_2318	Med-fast
MSMEG_2319	Med-fast
MSMEG_2321	Med-fast
MSMEG_2322	Med-fast
MSMEG_2323	Med-fast
MSMEG_2325	Med-fast
MSMEG_2326	Med-fast
MSMEG_2327	Fast
MSMEG_2328	Fast
MSMEG_2329	Med-fast
MSMEG_2330	Med-fast
MSMEG_2331	Med-fast
MSMEG_2332	Med-fast
MSMEG_2333	Med-fast
MSMEG_2335	Fast
MSMEG_2337	Med-fast
MSMEG_2338	Med-fast
MSMEG_2339	Med-fast
MSMEG_2340	Med-fast
MSMEG_2349	Fast
MSMEG_2350	Fast
MSMEG_2351	Slow
MSMEG_2352	Slow
MSMEG_2353	Med-fast
MSMEG_2354	Slow
MSMEG_2357	Fast
MSMEG_2358	Fast
MSMEG_2359	Med-fast
MSMEG_2360	Med-fast
MSMEG_2361	Med-fast
MSMEG_2362	Med-fast
MSMEG_2363	Fast
MSMEG_2364	Med-fast
MSMEG_2365	Med-fast
MSMEG_2367	Med-fast
MSMEG_2368	Fast
MSMEG_2369	Fast
MSMEG_2370	Fast
MSMEG_2371	Fast
MSMEG_2372	Med-fast
MSMEG_2373	Med-fast
MSMEG_2374	Slow
MSMEG_2375	Fast
MSMEG_2376	Med-fast
MSMEG_2377	Fast
MSMEG_2378	Slow
MSMEG_2379	Med-fast
MSMEG_2380	Med-fast
MSMEG_2381	Slow
MSMEG_2382	Slow
MSMEG_2383	Slow
MSMEG_2386	Med-fast
MSMEG_2387	Med-fast
MSMEG_2388	Med-fast
MSMEG_2389	Slow
MSMEG_2390	Med-fast
MSMEG_2391	Fast
MSMEG_2392	Med-fast
MSMEG_2393	Med-fast
MSMEG_2394	Med-fast
MSMEG_2395	Med-fast
MSMEG_2396	Slow
MSMEG_2397	Fast
MSMEG_2398	Med-slow
MSMEG_2399	Med-fast
MSMEG_2400	Fast
MSMEG_2401	Med-fast
MSMEG_2402	Med-fast
MSMEG_2403	Med-fast
MSMEG_2405	Med-fast
MSMEG_2406	Med-fast
MSMEG_2407	Slow
MSMEG_2408	Slow
MSMEG_2409	Med-fast
MSMEG_2410	Fast
MSMEG_2411	Fast
MSMEG_2412	Med-slow
MSMEG_2416	Med-fast
MSMEG_2417	Fast
MSMEG_2418	Fast
MSMEG_2419	Fast
MSMEG_2420	Fast
MSMEG_2421	Med-fast
MSMEG_2422	Fast
MSMEG_2423	Fast
MSMEG_2424	Med-fast
MSMEG_2428	Med-slow
MSMEG_2430	Med-fast
MSMEG_2431	Fast
MSMEG_2432	Fast
MSMEG_2433	Med-fast
MSMEG_2434	Med-fast
MSMEG_2435	Fast
MSMEG_2436	Fast
MSMEG_2437	Med-fast
MSMEG_2438	Fast
MSMEG_2439	Med-fast
MSMEG_2440	Fast
MSMEG_2441	Fast
MSMEG_2442	Fast
MSMEG_2443	Med-fast
MSMEG_2444	Med-fast
MSMEG_2445	Med-fast
MSMEG_2446	Fast
MSMEG_2447	Med-slow
MSMEG_2450	Slow
MSMEG_2451	Slow
MSMEG_2452	Med-fast
MSMEG_2453	Fast
MSMEG_2454	Med-fast
MSMEG_2455	Slow
MSMEG_2456	Fast
MSMEG_2457	Med-fast
MSMEG_2458	Slow
MSMEG_2467	Slow
MSMEG_2468	Med-fast
MSMEG_2469	Fast
MSMEG_2470	Fast
MSMEG_2471	Med-fast
MSMEG_2472	Slow
MSMEG_2475	Slow
MSMEG_2476	Fast
MSMEG_2477	Med-fast
MSMEG_2478	Fast
MSMEG_2480	Med-fast
MSMEG_2481	Fast
MSMEG_2483	Med-fast
MSMEG_2484	Med-fast
MSMEG_2488	Slow
MSMEG_2489	Med-fast
MSMEG_2490	Slow
MSMEG_2492	Med-fast
MSMEG_2493	Med-fast
MSMEG_2494	Med-fast
MSMEG_2496	Fast
MSMEG_2497	Med-fast
MSMEG_2498	Med-fast
MSMEG_2500	Med-fast
MSMEG_2502	Slow
MSMEG_2504	Med-fast
MSMEG_2505	Med-fast
MSMEG_2506	Slow
MSMEG_2509	Med-slow
MSMEG_2511	Med-fast
MSMEG_2512	Med-fast
MSMEG_2513	Fast
MSMEG_2515	Med-fast
MSMEG_2516	Med-fast
MSMEG_2517	Fast
MSMEG_2518	Med-slow
MSMEG_2519	Med-fast
MSMEG_2520	Med-fast
MSMEG_2521	Med-fast
MSMEG_2525	Med-slow
MSMEG_2526	Med-slow
MSMEG_2528	Fast
MSMEG_2529	Med-slow
MSMEG_2530	Slow
MSMEG_2531	Fast
MSMEG_2533	Slow
MSMEG_2534	Slow
MSMEG_2535	Slow
MSMEG_2539	Slow
MSMEG_2540	Med-fast
MSMEG_2541	Fast
MSMEG_2542	Med-fast
MSMEG_2543	Med-fast
MSMEG_2544	Fast
MSMEG_2545	Fast
MSMEG_2546	Fast
MSMEG_2547	Fast
MSMEG_2550	Med-fast
MSMEG_2551	Med-fast
MSMEG_2552	Fast
MSMEG_2553	Fast
MSMEG_2554	Med-slow
MSMEG_2556	Fast
MSMEG_2564	Med-fast
MSMEG_2567	Slow
MSMEG_2568	Slow
MSMEG_2573	Fast
MSMEG_2574	Slow
MSMEG_2575	Fast
MSMEG_2578	Med-fast
MSMEG_2579	Fast
MSMEG_2580	Med-fast
MSMEG_2581	Med-fast
MSMEG_2582	Slow
MSMEG_2583	Med-fast
MSMEG_2584	Med-fast
MSMEG_2585	Med-fast
MSMEG_2587	Fast
MSMEG_2588	Med-fast
MSMEG_2589	Med-fast
MSMEG_2590	Fast
MSMEG_2592	Med-slow
MSMEG_2594	Slow
MSMEG_2595	Slow
MSMEG_2596	Slow
MSMEG_2600	Med-fast
MSMEG_2603	Med-fast
MSMEG_2604	Slow
MSMEG_2605	Med-fast
MSMEG_2607	Med-fast
MSMEG_2608	Fast
MSMEG_2609	Fast
MSMEG_2610	Fast
MSMEG_2611	Med-fast
MSMEG_2612	Fast
MSMEG_2613	Fast
MSMEG_2614	Fast
MSMEG_2615	Med-fast
MSMEG_2618	Med-fast
MSMEG_2619	Fast
MSMEG_2620	Fast
MSMEG_2621	Med-fast
MSMEG_2622	Med-fast
MSMEG_2623	Med-fast
MSMEG_2624	Fast
MSMEG_2625	Fast
MSMEG_2626	Fast
MSMEG_2628	Med-fast
MSMEG_2629	Slow
MSMEG_2632	Med-fast
MSMEG_2634	Med-fast
MSMEG_2636	Med-fast
MSMEG_2638	Fast
MSMEG_2639	Slow
MSMEG_2640	Fast
MSMEG_2641	Slow
MSMEG_2642	Fast
MSMEG_2643	Med-fast
MSMEG_2644	Fast
MSMEG_2645	Fast
MSMEG_2646	Med-fast
MSMEG_2647	Fast
MSMEG_2648	Med-fast
MSMEG_2649	Med-fast
MSMEG_2650	Med-fast
MSMEG_2651	Med-fast
MSMEG_2652	Med-slow
MSMEG_2653	Med-fast
MSMEG_2654	Fast
MSMEG_2655	Fast
MSMEG_2656	Med-fast
MSMEG_2657	Med-fast
MSMEG_2658	Slow
MSMEG_2659	Slow
MSMEG_2661	Med-fast
MSMEG_2664	Med-fast
MSMEG_2665	Slow
MSMEG_2666	Med-fast
MSMEG_2667	Med-fast
MSMEG_2668	Med-fast
MSMEG_2670	Fast
MSMEG_2671	Fast
MSMEG_2672	Fast
MSMEG_2673	Med-fast
MSMEG_2674	Med-fast
MSMEG_2675	Med-fast
MSMEG_2676	Med-fast
MSMEG_2679	Med-fast
MSMEG_2680	Med-fast
MSMEG_2681	Med-fast
MSMEG_2682	Fast
MSMEG_2683	Fast
MSMEG_2684	Med-slow
MSMEG_2685	Fast
MSMEG_2686	Med-fast
MSMEG_2687	Med-fast
MSMEG_2688	Med-fast
MSMEG_2690	Med-fast
MSMEG_2691	Med-fast
MSMEG_2692	Med-fast
MSMEG_2693	Med-fast
MSMEG_2694	Fast
MSMEG_2695	Med-fast
MSMEG_2696	Med-fast
MSMEG_2697	Med-fast
MSMEG_2698	Med-slow
MSMEG_2699	Med-fast
MSMEG_2700	Fast
MSMEG_2701	Fast
MSMEG_2707	Med-slow
MSMEG_2715	Slow
MSMEG_2723	Slow
MSMEG_2724	Med-fast
MSMEG_2725	Med-fast
MSMEG_2726	Slow
MSMEG_2727	Slow
MSMEG_2728	Fast
MSMEG_2729	Fast
MSMEG_2731	Med-fast
MSMEG_2732	Med-slow
MSMEG_2733	Med-slow
MSMEG_2734	Med-fast
MSMEG_2735	Med-fast
MSMEG_2736	Fast
MSMEG_2738	Fast
MSMEG_2739	Fast
MSMEG_2740	Med-fast
MSMEG_2742	Med-fast
MSMEG_2743	Med-fast
MSMEG_2744	Fast
MSMEG_2746	Med-fast
MSMEG_2748	Med-fast
MSMEG_2750	Med-fast
MSMEG_2753	Med-fast
MSMEG_2754	Slow
MSMEG_2755	Med-fast
MSMEG_2756	Med-fast
MSMEG_2757	Med-fast
MSMEG_2758	Fast
MSMEG_2759	Med-fast
MSMEG_2760	Med-fast
MSMEG_2761	Med-fast
MSMEG_2762	Slow
MSMEG_2763	Fast
MSMEG_2764	Fast
MSMEG_2765	Med-fast
MSMEG_2766	Med-fast
MSMEG_2767	Med-slow
MSMEG_2768	Fast
MSMEG_2769	Fast
MSMEG_2770	Fast
MSMEG_2771	Med-fast
MSMEG_2772	Fast
MSMEG_2773	Med-fast
MSMEG_2774	Fast
MSMEG_2775	Med-fast
MSMEG_2776	Fast
MSMEG_2777	Fast
MSMEG_2778	Fast
MSMEG_2779	Med-fast
MSMEG_2780	Med-fast
MSMEG_2781	Med-fast
MSMEG_2782	Fast
MSMEG_2783	Fast
MSMEG_2784	Fast
MSMEG_2785	Fast
MSMEG_2786	Med-fast
MSMEG_2787	Med-slow
MSMEG_2788	Med-fast
MSMEG_2789	Fast
MSMEG_2790	Med-fast
MSMEG_2791	Slow
MSMEG_2792	Med-fast
MSMEG_2793	Med-slow
MSMEG_2795	Med-fast
MSMEG_2796	Med-fast
MSMEG_2797	Med-slow
MSMEG_2798	Med-fast
MSMEG_2799	Med-fast
MSMEG_2800	Med-fast
MSMEG_2802	Med-fast
MSMEG_2803	Med-fast
MSMEG_2804	Med-fast
MSMEG_2805	Slow
