 	transcript_5p20nt_Avg_First5nt_UnpairedProb
MSMEG_1109	NA
MSMEG_1110	NA
MSMEG_1111	NA
MSMEG_1112	0.9257
MSMEG_1113	NA
MSMEG_1114	0.3189
MSMEG_1115	0.8652
MSMEG_1116	0.4776
MSMEG_1117	0.4953
MSMEG_1118	0.5073
MSMEG_1119	NA
MSMEG_1120	NA
MSMEG_1121	NA
MSMEG_1122	NA
MSMEG_1123	0.7674
MSMEG_1124	0.7557
MSMEG_1125	NA
MSMEG_1126	NA
MSMEG_1127	NA
MSMEG_1128	NA
MSMEG_1129	NA
MSMEG_1130	NA
MSMEG_1131	0.9660
MSMEG_1132	0.8536
MSMEG_1133	0.7739
MSMEG_1134	0.9110
MSMEG_1135	NA
MSMEG_1136	0.6019
MSMEG_1137	NA
MSMEG_1138	0.7739
MSMEG_1139	0.9996
MSMEG_1140	0.3937
MSMEG_1141	0.2329
MSMEG_1142	NA
MSMEG_1143	NA
MSMEG_1144	NA
MSMEG_1145	NA
MSMEG_1146	NA
MSMEG_1147	NA
MSMEG_1148	NA
MSMEG_1149	NA
MSMEG_1150	NA
MSMEG_1151	NA
MSMEG_1152	NA
MSMEG_1153	0.8933
MSMEG_1154	NA
MSMEG_1155	NA
MSMEG_1156	NA
MSMEG_1157	NA
MSMEG_1158	NA
MSMEG_1159	NA
MSMEG_1160	NA
MSMEG_1161	NA
MSMEG_1162	NA
MSMEG_1163	NA
MSMEG_1165	0.8143
MSMEG_1167	0.8378
MSMEG_1168	0.3901
MSMEG_1169	0.6857
MSMEG_1170	NA
MSMEG_1171	NA
MSMEG_1172	NA
MSMEG_1173	0.0820
MSMEG_1174	0.9735
MSMEG_1175	0.6093
MSMEG_1176	0.7505
MSMEG_1177	0.6003
MSMEG_1178	NA
MSMEG_1179	NA
MSMEG_1180	NA
MSMEG_1181	NA
MSMEG_1182	NA
MSMEG_1183	NA
MSMEG_1184	0.2010
MSMEG_1185	0.7894
MSMEG_1186	NA
MSMEG_1187	NA
MSMEG_1188	0.4559
MSMEG_1189	0.6051
MSMEG_1190	NA
MSMEG_1191	0.7983
MSMEG_1192	NA
MSMEG_1193	0.3314
MSMEG_1194	0.5797
MSMEG_1195	0.9298
MSMEG_1196	NA
MSMEG_1197	NA
MSMEG_1198	NA
MSMEG_1199	0.6122
MSMEG_1200	0.8692
MSMEG_1201	0.9731
MSMEG_1202	NA
MSMEG_1203	NA
MSMEG_1204	0.4660
MSMEG_1205	0.9608
MSMEG_1206	0.6035
MSMEG_1207	0.5510
MSMEG_1208	NA
MSMEG_1209	NA
MSMEG_1210	0.9094
MSMEG_1211	0.1871
MSMEG_1212	0.5865
MSMEG_1213	0.6260
MSMEG_1214	NA
MSMEG_1215	NA
MSMEG_1216	NA
MSMEG_1217	NA
MSMEG_1218	NA
MSMEG_1219	NA
MSMEG_1220	0.8436
MSMEG_1221	NA
MSMEG_1222	0.5699
MSMEG_1223	0.7014
MSMEG_1224	NA
MSMEG_1225	0.7905
MSMEG_1226	0.7740
MSMEG_1227	NA
MSMEG_1228	NA
MSMEG_1229	NA
MSMEG_1230	NA
MSMEG_1231	NA
MSMEG_1232	NA
MSMEG_1234	NA
MSMEG_1235	NA
MSMEG_1236	0.4910
MSMEG_1237	NA
MSMEG_1238	0.4298
MSMEG_1239	NA
MSMEG_1240	0.6665
MSMEG_1241	NA
MSMEG_1242	0.2280
MSMEG_1243	NA
MSMEG_1244	NA
MSMEG_1245	0.8233
MSMEG_1246	0.3991
MSMEG_1247	0.9569
MSMEG_1248	NA
MSMEG_1249	NA
MSMEG_1250	0.5986
MSMEG_1251	0.0129
MSMEG_1252	NA
MSMEG_1253	0.6717
MSMEG_1254	NA
MSMEG_1255	0.8275
MSMEG_1256	NA
MSMEG_1257	0.0522
MSMEG_1258	0.5622
MSMEG_1259	NA
MSMEG_1260	0.6965
MSMEG_1261	0.7021
MSMEG_1262	0.5691
MSMEG_1263	0.9973
MSMEG_1264	0.0683
MSMEG_1265	0.1961
MSMEG_1266	NA
MSMEG_1268	0.8062
MSMEG_1269	NA
MSMEG_1270	0.8993
MSMEG_1271	NA
MSMEG_1272	0.6901
MSMEG_1273	NA
MSMEG_1274	0.2011
MSMEG_1275	0.6170
MSMEG_1276	NA
MSMEG_1277	0.8255
MSMEG_1278	NA
MSMEG_1279	0.4152
MSMEG_1280	NA
MSMEG_1281	NA
MSMEG_1282	NA
MSMEG_1283	0.6038
MSMEG_1284	NA
MSMEG_1285	NA
MSMEG_1286	NA
MSMEG_1287	NA
MSMEG_1288	NA
MSMEG_1289	0.2104
MSMEG_1290	NA
MSMEG_1291	NA
MSMEG_1292	0.7597
MSMEG_1293	0.4598
MSMEG_1294	NA
MSMEG_1295	0.5259
MSMEG_1296	0.7871
MSMEG_1297	NA
MSMEG_1298	NA
MSMEG_1299	NA
MSMEG_1300	0.4159
MSMEG_1301	NA
MSMEG_1302	NA
MSMEG_1303	NA
MSMEG_1304	NA
MSMEG_1305	0.6017
MSMEG_1306	NA
MSMEG_1307	NA
MSMEG_1308	NA
MSMEG_1309	NA
MSMEG_1310	NA
MSMEG_1311	0.4113
MSMEG_1312	NA
MSMEG_1313	0.4800
MSMEG_1314	0.9413
MSMEG_1315	NA
MSMEG_1316	0.9868
MSMEG_1317	0.9529
MSMEG_1318	NA
MSMEG_1319	NA
MSMEG_1320	NA
MSMEG_1321	NA
MSMEG_1322	0.2087
MSMEG_1323	NA
MSMEG_1324	NA
MSMEG_1325	NA
MSMEG_1326	NA
MSMEG_1327	NA
MSMEG_1328	NA
MSMEG_1329	NA
MSMEG_1330	NA
MSMEG_1331	0.8410
MSMEG_1332	0.2766
MSMEG_1333	NA
MSMEG_1334	0.3731
MSMEG_1335	NA
MSMEG_1336	NA
MSMEG_1339	0.6009
MSMEG_1340	NA
MSMEG_1341	NA
MSMEG_1342	NA
MSMEG_1344	0.9651
MSMEG_1345	NA
MSMEG_1346	0.9234
MSMEG_1347	NA
MSMEG_1348	NA
MSMEG_1349	NA
MSMEG_1350	0.3769
MSMEG_1351	0.2817
MSMEG_1352	NA
MSMEG_1353	0.7236
MSMEG_1355	NA
MSMEG_1356	0.4489
MSMEG_1357	NA
MSMEG_1358	NA
MSMEG_1359	NA
MSMEG_1360	NA
MSMEG_1361	0.8959
MSMEG_1362	NA
MSMEG_1363	0.9834
MSMEG_1364	0.9952
MSMEG_1365	NA
MSMEG_1366	0.9938
MSMEG_1367	0.7881
MSMEG_1368	NA
MSMEG_1369	0.9816
MSMEG_1370	0.6504
MSMEG_1371	NA
MSMEG_1372	NA
MSMEG_1373	NA
MSMEG_1374	NA
MSMEG_1375	0.8867
MSMEG_1376	0.9743
MSMEG_1377	NA
MSMEG_1378	NA
MSMEG_1379	0.6154
MSMEG_1380	0.7398
MSMEG_1381	0.8726
MSMEG_1382	NA
MSMEG_1383	0.2679
MSMEG_1384	NA
MSMEG_1385	0.6761
MSMEG_1386	NA
MSMEG_1387	0.4109
MSMEG_1388	NA
MSMEG_1389	NA
MSMEG_1390	NA
MSMEG_1391	0.8400
MSMEG_1392	0.9701
MSMEG_1393	NA
MSMEG_1394	0.4019
MSMEG_1395	NA
MSMEG_1396	NA
MSMEG_1397	0.4366
MSMEG_1398	0.0123
MSMEG_1399	NA
MSMEG_1401	0.9155
MSMEG_1402	0.8756
MSMEG_1403	0.7895
MSMEG_1404	0.2304
MSMEG_1405	0.0522
MSMEG_1406	NA
MSMEG_1409	NA
MSMEG_1410	0.7346
MSMEG_1411	NA
MSMEG_1412	NA
MSMEG_1413	NA
MSMEG_1414	0.8532
MSMEG_1415	0.7283
MSMEG_1416	0.4580
MSMEG_1417	NA
MSMEG_1418	0.7816
MSMEG_1419	0.7192
MSMEG_1420	NA
MSMEG_1421	NA
MSMEG_1422	NA
MSMEG_1423	0.8452
MSMEG_1424	NA
MSMEG_1425	0.4591
MSMEG_1426	0.9526
MSMEG_1427	NA
MSMEG_1428	NA
MSMEG_1429	0.4274
MSMEG_1430	0.2664
MSMEG_1431	NA
MSMEG_1432	0.4296
MSMEG_1433	0.0288
MSMEG_1434	0.2288
MSMEG_1435	0.3084
MSMEG_1436	NA
MSMEG_1437	NA
MSMEG_1438	NA
MSMEG_1439	NA
MSMEG_1440	0.2577
MSMEG_1441	NA
MSMEG_1442	0.7853
MSMEG_1443	NA
MSMEG_1444	NA
MSMEG_1445	NA
MSMEG_1446	0.9995
MSMEG_1447	NA
MSMEG_1448	0.2527
MSMEG_1450	NA
MSMEG_1451	0.5328
MSMEG_1452	NA
MSMEG_1453	NA
MSMEG_1454	NA
MSMEG_1455	0.4348
MSMEG_1456	0.9409
MSMEG_1457	0.2455
MSMEG_1458	NA
MSMEG_1459	NA
MSMEG_1460	NA
MSMEG_1461	NA
MSMEG_1462	NA
MSMEG_1463	NA
MSMEG_1464	NA
MSMEG_1465	0.2031
MSMEG_1466	0.5032
MSMEG_1467	NA
MSMEG_1468	0.9083
MSMEG_1469	NA
MSMEG_1470	0.3389
MSMEG_1471	0.6017
MSMEG_1472	0.9413
MSMEG_1473	0.8793
MSMEG_1474	NA
MSMEG_1475	NA
MSMEG_1476	0.9534
MSMEG_1477	NA
MSMEG_1478	NA
MSMEG_1479	0.6285
MSMEG_1480	NA
MSMEG_1481	NA
MSMEG_1482	0.1957
MSMEG_1483	0.6947
MSMEG_1484	NA
MSMEG_1485	NA
MSMEG_1486	NA
MSMEG_1487	0.1275
MSMEG_1488	NA
MSMEG_1489	NA
MSMEG_1490	NA
MSMEG_1491	NA
MSMEG_1492	0.7861
MSMEG_1493	NA
MSMEG_1494	0.5013
MSMEG_1495	NA
MSMEG_1496	0.8969
MSMEG_1497	NA
MSMEG_1498	0.4063
MSMEG_1499	NA
MSMEG_1500	NA
MSMEG_1501	0.9984
MSMEG_1502	0.9693
MSMEG_1503	NA
MSMEG_1504	NA
MSMEG_1505	NA
MSMEG_1506	NA
MSMEG_1507	NA
MSMEG_1508	NA
MSMEG_1509	NA
MSMEG_1510	NA
MSMEG_1511	NA
MSMEG_1512	0.6880
MSMEG_1513	0.6138
MSMEG_1514	0.9958
MSMEG_1515	NA
MSMEG_1516	0.9876
MSMEG_1517	NA
MSMEG_1518	0.2015
MSMEG_1519	NA
MSMEG_1520	0.9406
MSMEG_1521	0.4441
MSMEG_1522	0.9658
MSMEG_1523	0.9984
MSMEG_1524	0.0907
MSMEG_1525	0.9809
MSMEG_1526	0.4250
MSMEG_1527	NA
MSMEG_1528	NA
MSMEG_1529	0.8173
MSMEG_1530	0.9632
MSMEG_1531	0.9973
MSMEG_1532	NA
MSMEG_1533	NA
MSMEG_1534	NA
MSMEG_1535	NA
MSMEG_1536	NA
MSMEG_1537	NA
MSMEG_1538	NA
MSMEG_1539	NA
MSMEG_1540	0.3199
MSMEG_1541	NA
MSMEG_1542	0.2632
MSMEG_1543	0.3527
MSMEG_1544	0.3955
MSMEG_1545	NA
MSMEG_1546	0.2095
MSMEG_1547	NA
MSMEG_1548	NA
MSMEG_1550	NA
MSMEG_1551	NA
MSMEG_1552	NA
MSMEG_1553	0.5538
MSMEG_1554	NA
MSMEG_1556	0.4432
MSMEG_1557	0.3891
MSMEG_1558	0.8691
MSMEG_1559	0.7578
MSMEG_1560	NA
MSMEG_1561	0.3255
MSMEG_1563	NA
MSMEG_1564	NA
MSMEG_1565	0.7785
MSMEG_1566	NA
MSMEG_1567	0.4982
MSMEG_1568	NA
MSMEG_1569	NA
MSMEG_1570	NA
MSMEG_1571	NA
MSMEG_1572	NA
MSMEG_1573	0.1785
MSMEG_1574	0.9997
MSMEG_1575	0.9720
MSMEG_1576	NA
MSMEG_1577	0.7756
MSMEG_1578	NA
MSMEG_1579	NA
MSMEG_1580	0.9992
MSMEG_1581	NA
MSMEG_1582	0.4595
MSMEG_1583	0.2253
MSMEG_1584	NA
MSMEG_1585	0.8962
MSMEG_1586	NA
MSMEG_1587	NA
MSMEG_1588	NA
MSMEG_1589	0.1485
MSMEG_1590	NA
MSMEG_1591	NA
MSMEG_1592	0.6557
MSMEG_1593	NA
MSMEG_1594	NA
MSMEG_1595	NA
MSMEG_1596	0.5626
MSMEG_1597	0.5357
MSMEG_1598	NA
MSMEG_1599	0.9991
MSMEG_1600	NA
MSMEG_1601	0.2122
MSMEG_1602	0.7955
MSMEG_1603	0.9940
MSMEG_1604	0.4905
MSMEG_1605	NA
MSMEG_1606	NA
MSMEG_1607	NA
MSMEG_1608	0.6062
MSMEG_1609	0.9065
MSMEG_1610	0.7782
MSMEG_1611	NA
MSMEG_1612	NA
MSMEG_1613	NA
MSMEG_1614	NA
MSMEG_1615	NA
MSMEG_1617	NA
MSMEG_1618	0.9806
MSMEG_1619	NA
MSMEG_1620	0.2305
MSMEG_1621	0.3930
MSMEG_1622	NA
MSMEG_1623	0.6858
MSMEG_1624	NA
MSMEG_1625	NA
MSMEG_1626	NA
MSMEG_1627	NA
MSMEG_1628	NA
MSMEG_1629	0.4260
MSMEG_1630	NA
MSMEG_1631	0.9485
MSMEG_1632	0.6026
MSMEG_1633	0.8441
MSMEG_1634	0.0414
MSMEG_1635	0.9734
MSMEG_1636	0.6677
MSMEG_1637	0.9998
MSMEG_1638	0.5906
MSMEG_1639	NA
MSMEG_1640	0.8348
MSMEG_1641	NA
MSMEG_1642	0.2327
MSMEG_1643	0.7179
MSMEG_1644	0.5696
MSMEG_1645	0.7676
MSMEG_1646	0.3591
MSMEG_1647	0.7383
MSMEG_1648	0.4674
MSMEG_1649	NA
MSMEG_1650	NA
MSMEG_1651	NA
MSMEG_1652	0.4774
MSMEG_1653	NA
MSMEG_1654	0.8635
MSMEG_1655	0.3054
MSMEG_1656	0.2081
MSMEG_1657	0.9679
MSMEG_1658	NA
MSMEG_1659	0.2070
MSMEG_1660	0.7007
MSMEG_1661	0.6220
MSMEG_1662	0.8667
MSMEG_1663	0.2691
MSMEG_1664	NA
MSMEG_1665	0.9692
MSMEG_1666	0.9901
MSMEG_1667	NA
MSMEG_1668	NA
MSMEG_1669	NA
MSMEG_1670	NA
MSMEG_1671	NA
MSMEG_1672	0.1417
MSMEG_1673	0.4393
MSMEG_1674	NA
MSMEG_1675	0.9647
MSMEG_1676	NA
MSMEG_1677	NA
MSMEG_1678	NA
MSMEG_1679	NA
MSMEG_1680	0.9949
MSMEG_1681	NA
MSMEG_1682	0.9019
MSMEG_1683	0.0235
MSMEG_1684	0.4234
MSMEG_1685	0.3223
MSMEG_1686	NA
MSMEG_1687	NA
MSMEG_1688	NA
MSMEG_1689	0.5253
MSMEG_1690	NA
MSMEG_1691	NA
MSMEG_1692	0.5828
MSMEG_1693	NA
MSMEG_1694	NA
MSMEG_1695	NA
MSMEG_1696	NA
MSMEG_1697	NA
MSMEG_1698	0.3456
MSMEG_1699	NA
MSMEG_1700	NA
MSMEG_1701	0.4846
MSMEG_1702	0.9818
MSMEG_1703	NA
MSMEG_1704	NA
MSMEG_1705	NA
MSMEG_1706	NA
MSMEG_1707	NA
MSMEG_1708	0.9978
MSMEG_1709	NA
MSMEG_1710	NA
MSMEG_1711	NA
MSMEG_1712	NA
MSMEG_1713	NA
MSMEG_1714	NA
MSMEG_1715	NA
MSMEG_1716	0.7605
MSMEG_1717	0.9764
MSMEG_1718	NA
MSMEG_1719	0.9676
MSMEG_1720	0.9226
MSMEG_1721	NA
MSMEG_1722	0.3128
MSMEG_1723	0.3392
MSMEG_1724	NA
MSMEG_1725	0.2028
MSMEG_1726	0.9727
MSMEG_1727	NA
MSMEG_1728	0.7545
MSMEG_1729	0.0012
MSMEG_1730	NA
MSMEG_1731	NA
MSMEG_1732	0.7638
MSMEG_1733	0.3904
MSMEG_1734	0.4710
MSMEG_1735	0.2080
MSMEG_1736	0.9896
MSMEG_1737	NA
MSMEG_1738	0.3178
MSMEG_1739	0.7303
MSMEG_1740	0.2873
MSMEG_1741	0.4250
MSMEG_1742	0.7106
MSMEG_1743	NA
MSMEG_1744	0.9998
MSMEG_1745	0.6121
MSMEG_1746	NA
MSMEG_1747	NA
MSMEG_1748	NA
MSMEG_1749	NA
MSMEG_1750	NA
MSMEG_1751	0.9428
MSMEG_1752	NA
MSMEG_1753	0.7114
MSMEG_1754	NA
MSMEG_1755	NA
MSMEG_1756	NA
MSMEG_1757	0.7805
MSMEG_1758	NA
MSMEG_1759	NA
MSMEG_1760	NA
MSMEG_1761	NA
MSMEG_1762	NA
MSMEG_1763	NA
MSMEG_1764	NA
MSMEG_1765	NA
MSMEG_1766	NA
MSMEG_1767	NA
MSMEG_1768	NA
MSMEG_1769	NA
MSMEG_1770	0.0430
MSMEG_1771	NA
MSMEG_1772	NA
MSMEG_1773	0.9016
MSMEG_1774	NA
MSMEG_1775	NA
MSMEG_1776	NA
MSMEG_1777	NA
MSMEG_1778	0.8405
MSMEG_1779	NA
MSMEG_1780	NA
MSMEG_1781	NA
MSMEG_1782	0.6181
MSMEG_1783	NA
MSMEG_1784	NA
MSMEG_1785	NA
MSMEG_1786	0.2021
MSMEG_1787	NA
MSMEG_1788	NA
MSMEG_1789	NA
MSMEG_1790	NA
MSMEG_1791	0.2178
MSMEG_1792	NA
MSMEG_1793	NA
MSMEG_1794	NA
MSMEG_1795	NA
MSMEG_1796	NA
MSMEG_1797	NA
MSMEG_1798	NA
MSMEG_1799	0.5807
MSMEG_1800	NA
MSMEG_1801	0.6133
MSMEG_1802	0.9521
MSMEG_1803	0.9817
MSMEG_1804	0.9595
MSMEG_1805	0.4164
MSMEG_1806	NA
MSMEG_1807	0.9216
MSMEG_1808	NA
MSMEG_1809	0.5256
MSMEG_1810	NA
MSMEG_1811	NA
MSMEG_1812	0.9963
MSMEG_1813	0.8434
MSMEG_1814	NA
MSMEG_1815	NA
MSMEG_1817	0.1876
MSMEG_1818	0.1194
MSMEG_1819	0.2150
MSMEG_1820	NA
MSMEG_1821	0.6682
MSMEG_1822	0.6780
MSMEG_1823	NA
MSMEG_1824	0.9117
MSMEG_1825	NA
MSMEG_1826	0.8838
MSMEG_1827	NA
MSMEG_1829	NA
MSMEG_1830	0.5752
MSMEG_1831	0.9516
MSMEG_1832	0.6103
MSMEG_1833	0.2253
MSMEG_1834	0.4100
MSMEG_1835	NA
MSMEG_1836	0.2396
MSMEG_1837	NA
MSMEG_1838	0.8849
MSMEG_1839	0.7589
MSMEG_1840	NA
MSMEG_1841	NA
MSMEG_1842	NA
MSMEG_1844	NA
MSMEG_1845	0.5550
MSMEG_1846	NA
MSMEG_1847	NA
MSMEG_1849	NA
MSMEG_1850	NA
MSMEG_1852	0.9700
MSMEG_1854	0.7317
MSMEG_1855	NA
MSMEG_1856	NA
MSMEG_1857	NA
MSMEG_1858	NA
MSMEG_1859	NA
MSMEG_1860	NA
MSMEG_1861	0.6235
MSMEG_1862	0.9727
MSMEG_1863	0.6746
MSMEG_1864	NA
MSMEG_1865	0.1835
MSMEG_1866	NA
MSMEG_1867	0.6833
MSMEG_1868	0.9993
MSMEG_1869	0.9274
MSMEG_1870	0.8234
MSMEG_1871	NA
MSMEG_1872	0.9105
MSMEG_1873	0.5880
MSMEG_1874	NA
MSMEG_1875	0.6728
MSMEG_1876	NA
MSMEG_1877	NA
MSMEG_1878	NA
MSMEG_1879	NA
MSMEG_1880	0.2497
MSMEG_1881	0.9537
MSMEG_1882	0.8205
MSMEG_1883	0.9624
MSMEG_1884	0.7020
MSMEG_1885	0.3056
MSMEG_1886	0.9750
MSMEG_1887	0.1266
MSMEG_1888	NA
MSMEG_1889	NA
MSMEG_1890	0.5016
MSMEG_1891	NA
MSMEG_1892	NA
MSMEG_1893	0.7626
MSMEG_1894	NA
MSMEG_1895	0.8909
MSMEG_1896	NA
MSMEG_1897	NA
MSMEG_1898	NA
MSMEG_1899	NA
MSMEG_1900	0.1080
MSMEG_1901	0.5058
MSMEG_1902	0.9906
MSMEG_1903	NA
MSMEG_1904	NA
MSMEG_1905	0.3465
MSMEG_1906	NA
MSMEG_1907	NA
MSMEG_1908	NA
MSMEG_1909	NA
MSMEG_1910	NA
MSMEG_1911	NA
MSMEG_1912	NA
MSMEG_1913	0.2971
MSMEG_1914	0.8384
MSMEG_1915	NA
MSMEG_1916	0.9143
MSMEG_1917	0.9625
MSMEG_1918	0.7376
MSMEG_1919	0.7010
MSMEG_1920	0.3806
MSMEG_1921	0.9756
MSMEG_1922	0.3488
MSMEG_1923	NA
MSMEG_1924	NA
MSMEG_1925	NA
MSMEG_1926	0.3385
MSMEG_1927	0.8001
MSMEG_1928	NA
MSMEG_1929	0.4631
MSMEG_1930	0.9839
MSMEG_1931	0.9672
MSMEG_1932	0.8859
MSMEG_1933	0.9995
MSMEG_1934	0.9493
MSMEG_1935	0.6725
MSMEG_1936	0.6047
MSMEG_1937	0.2132
MSMEG_1938	0.8284
MSMEG_1939	NA
MSMEG_1940	0.4645
MSMEG_1941	NA
MSMEG_1942	0.2078
MSMEG_1943	0.9918
MSMEG_1944	0.9442
MSMEG_1945	0.4130
MSMEG_1946	NA
MSMEG_1947	0.9937
MSMEG_1948	NA
MSMEG_1949	0.2255
MSMEG_1950	NA
MSMEG_1951	NA
MSMEG_1952	NA
MSMEG_1953	0.3860
MSMEG_1954	0.6511
MSMEG_1955	0.8519
MSMEG_1956	NA
MSMEG_1957	0.4001
MSMEG_1958	NA
MSMEG_1959	NA
MSMEG_1960	0.7567
MSMEG_1961	NA
MSMEG_1962	NA
MSMEG_1963	NA
MSMEG_1964	NA
MSMEG_1966	0.9276
MSMEG_1967	NA
MSMEG_1968	NA
MSMEG_1969	0.8988
MSMEG_1970	NA
MSMEG_1971	NA
MSMEG_1972	NA
MSMEG_1974	NA
MSMEG_1975	NA
MSMEG_1976	0.9952
MSMEG_1977	NA
MSMEG_1978	NA
MSMEG_1979	NA
MSMEG_1980	NA
MSMEG_1981	0.5281
MSMEG_1982	0.6571
MSMEG_1983	NA
MSMEG_1984	NA
MSMEG_1985	0.9938
MSMEG_1986	0.9125
MSMEG_1987	NA
MSMEG_1988	NA
MSMEG_1989	0.0030
MSMEG_1990	NA
MSMEG_1991	0.9980
MSMEG_1992	NA
MSMEG_1993	NA
MSMEG_1994	NA
MSMEG_1995	0.2634
MSMEG_1996	0.3892
MSMEG_1997	NA
MSMEG_1998	NA
MSMEG_1999	0.0017
MSMEG_2000	0.9727
MSMEG_2001	NA
MSMEG_2002	0.0522
MSMEG_2003	NA
MSMEG_2004	NA
MSMEG_2005	NA
MSMEG_2006	NA
MSMEG_2007	0.2289
MSMEG_2008	NA
MSMEG_2009	0.3579
MSMEG_2010	0.4578
MSMEG_2011	0.6154
MSMEG_2012	NA
MSMEG_2013	NA
MSMEG_2014	NA
MSMEG_2015	NA
MSMEG_2016	NA
MSMEG_2017	0.7229
MSMEG_2019	0.5067
MSMEG_2021	0.4111
MSMEG_2022	NA
MSMEG_2023	NA
MSMEG_2024	NA
MSMEG_2025	NA
MSMEG_2026	0.5979
MSMEG_2027	0.9600
MSMEG_2028	NA
MSMEG_2029	0.9666
MSMEG_2030	NA
MSMEG_2031	NA
MSMEG_2032	0.9704
MSMEG_2033	0.4312
MSMEG_2034	NA
MSMEG_2035	NA
MSMEG_2036	NA
MSMEG_2037	0.5010
MSMEG_2038	0.8387
MSMEG_2039	0.4417
MSMEG_2040	NA
MSMEG_2042	0.9646
MSMEG_2043	0.7877
MSMEG_2044	0.8992
MSMEG_2045	0.2088
MSMEG_2046	0.4044
MSMEG_2047	NA
MSMEG_2048	0.4593
MSMEG_2049	0.9814
MSMEG_2050	NA
MSMEG_2051	NA
MSMEG_2052	NA
MSMEG_2053	NA
MSMEG_2054	NA
MSMEG_2055	NA
MSMEG_2056	NA
MSMEG_2057	NA
MSMEG_2058	NA
MSMEG_2059	NA
MSMEG_2060	NA
MSMEG_2061	NA
MSMEG_2062	NA
MSMEG_2063	NA
MSMEG_2064	0.4943
MSMEG_2065	NA
MSMEG_2066	NA
MSMEG_2067	NA
MSMEG_2068	NA
MSMEG_2069	NA
MSMEG_2070	NA
MSMEG_2071	NA
MSMEG_2072	0.6144
MSMEG_2073	NA
MSMEG_2074	0.5973
MSMEG_2075	0.9825
MSMEG_2076	NA
MSMEG_2077	NA
MSMEG_2078	0.9722
MSMEG_2079	NA
MSMEG_2080	0.7984
MSMEG_2081	0.9090
MSMEG_2082	NA
MSMEG_2083	0.8430
MSMEG_2084	0.3748
MSMEG_2086	0.5672
MSMEG_2087	0.2230
MSMEG_2088	NA
MSMEG_2089	0.3248
MSMEG_2090	NA
MSMEG_2091	0.5086
MSMEG_2092	0.6713
MSMEG_2094	NA
MSMEG_2095	NA
MSMEG_2096	NA
MSMEG_2097	NA
MSMEG_2098	NA
MSMEG_2099	NA
MSMEG_2100	NA
MSMEG_2102	NA
MSMEG_2103	0.4331
MSMEG_2104	NA
MSMEG_2105	0.0705
MSMEG_2106	0.4892
MSMEG_2107	0.6570
MSMEG_2108	0.3551
MSMEG_2109	NA
MSMEG_2110	NA
MSMEG_2111	0.6461
MSMEG_2112	NA
MSMEG_2113	NA
MSMEG_2114	NA
MSMEG_2115	NA
MSMEG_2116	0.8174
MSMEG_2117	0.7326
MSMEG_2118	NA
MSMEG_2119	NA
MSMEG_2120	NA
MSMEG_2121	NA
MSMEG_2122	NA
MSMEG_2123	NA
MSMEG_2124	0.2074
MSMEG_2125	0.4947
MSMEG_2126	NA
MSMEG_2127	0.6105
MSMEG_2128	0.9082
MSMEG_2129	NA
MSMEG_2130	NA
MSMEG_2131	NA
MSMEG_2132	0.8258
MSMEG_2133	NA
MSMEG_2134	NA
MSMEG_2135	NA
MSMEG_2136	0.8461
MSMEG_2137	0.9406
MSMEG_2139	NA
MSMEG_2140	0.2895
MSMEG_2141	NA
MSMEG_2142	0.6252
MSMEG_2143	NA
MSMEG_2144	0.6089
MSMEG_2145	NA
MSMEG_2146	NA
MSMEG_2148	NA
MSMEG_2149	0.7456
MSMEG_2150	NA
MSMEG_2151	NA
MSMEG_2153	0.9374
MSMEG_2154	NA
MSMEG_2155	NA
MSMEG_2156	NA
MSMEG_2157	0.1466
MSMEG_2158	NA
MSMEG_2159	NA
MSMEG_2160	NA
MSMEG_2162	0.7280
MSMEG_2163	NA
MSMEG_2164	0.4604
MSMEG_2165	NA
MSMEG_2166	NA
MSMEG_2167	NA
MSMEG_2168	NA
MSMEG_2169	NA
MSMEG_2170	NA
MSMEG_2171	NA
MSMEG_2172	NA
MSMEG_2173	0.8399
MSMEG_2174	0.7631
MSMEG_2175	NA
MSMEG_2176	0.6918
MSMEG_2177	NA
MSMEG_2178	NA
MSMEG_2179	0.9985
MSMEG_2180	NA
MSMEG_2181	NA
MSMEG_2182	0.3589
MSMEG_2183	NA
MSMEG_2184	NA
MSMEG_2185	NA
MSMEG_2186	NA
MSMEG_2187	NA
MSMEG_2188	0.8280
MSMEG_2189	0.0422
MSMEG_2190	NA
MSMEG_2191	0.4705
MSMEG_2192	0.8962
MSMEG_2193	NA
MSMEG_2194	NA
MSMEG_2195	0.7058
MSMEG_2196	0.4273
MSMEG_2197	0.2401
MSMEG_2198	0.3988
MSMEG_2199	0.5302
MSMEG_2200	0.4718
MSMEG_2201	0.2915
MSMEG_2202	0.9462
MSMEG_2203	NA
MSMEG_2204	0.4890
MSMEG_2205	0.9994
MSMEG_2206	0.2132
MSMEG_2207	NA
MSMEG_2208	NA
MSMEG_2209	NA
MSMEG_2211	0.6239
MSMEG_2212	NA
MSMEG_2213	NA
MSMEG_2214	NA
MSMEG_2215	NA
MSMEG_2216	NA
MSMEG_2217	NA
MSMEG_2218	NA
MSMEG_2219	NA
MSMEG_2220	NA
MSMEG_2221	NA
MSMEG_2222	NA
MSMEG_2223	NA
MSMEG_2224	0.7988
MSMEG_2225	0.0064
MSMEG_2226	0.2892
MSMEG_2227	0.8558
